title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Age of Consent,tt0063991,1969,James Mason,Male,Australia,artist
Stone,tt0072209,1974,Deryck Barnes,Male,Australia,dr.
Tim,tt0080024,1979,Piper Laurie,Female,Australia,labourer
Patrick,tt0078067,1978,Susan Penhaligon,Female,Australia,matron
Don's Party,tt0074422,1976,Ray Barrett,Male,Australia,labor
Long Weekend,tt0079482,1978,John Hargreaves,Male,Australia,driver
The Day After Halloween,tt0079917,1979,Chantal Contouri,Female,Australia,model
The Odd Angry Shot,tt0079652,1979,Graham Kennedy,Male,Australia,cook
Sunday Too Far Away,tt0073765,1975,Jack Thompson,Male,Australia,shearer
"Goodbye, Norma Jean",tt0074581,1976,Misty Rowe,Female,Australia,baker
Money Movers,tt0077944,1978,Terence Donovan,Male,Australia,senior
Yesterday's Hero,tt0080158,1979,Suzanne Somers,Female,Australia,singer
The Journalist,tt0079374,1979,Jack Thompson,Male,Australia,journalist
Barry McKenzie Holds His Own,tt0071196,1974,Barry Crocker,Male,Australia,queen
Scobie Malone,tt0126019,1975,Jack Thompson,Male,Australia,detective
The F.J. Holden,tt0076011,1977,Paul Couzens,Male,Australia,mate
The Little Convict,tt0079475,1979,Rolf Harris,Male,Australia,storyteller
The Last of the Knucklemen,tt0079444,1979,Gerard Kennedy,Male,Australia,foreman
Summer of Secrets,tt0075282,1976,Arthur Dignam,Male,Australia,dr.
"Violence in the Cinema, Part 1",tt0067953,1971,Arthur Dignam,Male,Australia,dr.
Dawn!,tt0079029,1979,Bronwyn Mackay-Payne,Male,Australia,swimmer
Break of Day,tt0075782,1976,Sara Kestelman,Female,Australia,artist
Raw Deal,tt0076601,1977,Gerard Kennedy,Male,Australia,administrator
Cathy's Child,tt0078946,1979,Michele Fawdon,Female,Australia,reporter
Blue Fire Lady,tt0077250,1977,Cathryn Harrison,Female,Australia,rider
The Night Nurse,tt0077991,1978,Davina Whitehouse,Female,Australia,singer
Gulliver's Travels,tt0489718,1979,Julie Bennett,Female,Australia,queen
Clay,tt0059040,1965,Jean Lebedew,Male,Australia,sculptor
The Intruders,tt0130795,1969,Ed Devereaux,Male,Australia,ranger
The Haunting of Hewie Dowker,tt0209017,1976,John Waters,Male,Australia,officer
Beyond Reason,tt0130502,1970,George Dixon,Male,Australia,dr.
The Trespassers,tt0075350,1976,Judy Morris,Female,Australia,actress
Dead Easy,tt0352279,1970,Peter Carmody,Male,Australia,professor
Now and Then,tt0440679,1979,Tony Barry,Male,Australia,manager
"God Knows Why, But It Works",tt1808159,1976,Henri Szeps,Male,Australia,dr.
