title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Dona Flor and Her Two Husbands,tt0077452,1976,Sônia Braga,Female,Brazil,pharmacist
"Black God, White Devil",tt0058006,1964,Geraldo Del Rey,Male,Brazil,ranch hand
Entranced Earth,tt0062352,1967,Jardel Filho,Male,Brazil,politician
Roberto Carlos a 300 Quilômetros por Hora,tt0254060,1971,Roberto Carlos,Male,Brazil,car dealer
Barren Lives,tt0057654,1963,Átila Iório,Male,Brazil,officer
O Bandido da Luz Vermelha,tt0144782,1968,Helena Ignez,Female,Brazil,politician
Amor Bandido,tt0078768,1979,Paulo Gracindo,Male,Brazil,investigator
The Priest and the Girl,tt0059560,1966,Helena Ignez,Female,Brazil,merchant
Dezenove Mulheres e Um Homem,tt0260857,1977,David Cardoso,Male,Brazil,driver
Assault on the Pay Train,tt0056582,1962,Eliezer Gomes,Male,Brazil,leader
O Prisioneiro do Sexo,tt0189950,1978,Sandra Bréa,Female,Brazil,architect
Anjo Loiro,tt0203303,1973,Mário Benvenutti,Male,Brazil,teacher
A Dama da Zona,tt0250319,1979,Marlene Silva,Male,Brazil,prostitute
O Grande Xerife,tt0236266,1972,Amácio Mazzaropi,Male,Brazil,responsible
Os três Cangaceiros,tt0194463,1962,Ankito,Male,Brazil,photographer
Conjugal Warfare,tt0073082,1974,Lima Duarte,Male,Brazil,dr.
Hellish Flesh,tt0074683,1977,José Mojica Marins,Male,Brazil,dr.
End of Man,tt0067099,1971,José Mojica Marins,Male,Brazil,photographer
Mundo-mercado do Sexo,tt0077959,1979,José Mojica Marins,Male,Brazil,reporter
The Virgin and the Tough Guy,tt0191637,1974,Aurélio Tomassini,Male,Brazil,prostitute
Case of the Naves Brothers,tt0139927,1967,Anselmo Duarte,Male,Brazil,commissioner
Copacabana Mon Amour,tt0259944,1970,Helena Ignez,Female,Brazil,prostitute
Hallucinations of a Deranged Mind,tt0077420,1978,José Mojica Marins,Male,Brazil,filmmaker
"Maria Bonita, Rainha do Cangaço",tt0181678,1968,Celi Ribeiro,Female,Brazil,farmer
Grande Sertão,tt0198523,1965,Maurício do Valle,Male,Brazil,cowboy
O Desejo,tt0189476,1975,Lilian Lemmertz,Female,Brazil,intellectual
O Artesão de Mulheres,tt0260708,1978,Waldir Siebert,Male,Brazil,dr.
007 1/2 no Carnaval,tt0189328,1966,Larry Carr,Male,Brazil,agent
The Golden Mouth,tt0056876,1963,Jece Valadão,Male,Brazil,reporter
O Jogo da Vida,tt0187187,1977,Lima Duarte,Male,Brazil,worker
Quando as Mulheres Querem Provas,tt0258066,1975,Carlo Mossy,Male,Brazil,hostess
"Bandido, Fúria do Sexo",tt0260725,1979,David Cardoso,Male,Brazil,industrialist
O Levante das Saias,tt0199711,1967,André Villon,Male,Brazil,mayor
Idílio Proibido,tt0240607,1971,Sueli Fernandes,Male,Brazil,farmer
Sangue Corsário,tt10888204,1979,Roberto Miranda,Male,Brazil,banker
O Rei e os Trapalhões,tt0079789,1979,Renato Aragão,Male,Brazil,king
Um Homem Célebre,tt0188259,1974,Walmor Chagas,Male,Brazil,musician
Um Caipira em Bariloche,tt0191604,1973,Amácio Mazzaropi,Male,Brazil,farmer
"Ovelha Negra, Uma Despedida de Solteiro",tt0183622,1974,Joel Barcellos,Male,Brazil,singer
O Homem Nu,tt0063079,1968,Paulo José,Male,Brazil,writer
Meu Japão Brasileiro,tt0194149,1964,Amácio Mazzaropi,Male,Brazil,entrepreneur
A Banda das Velhas Virgens,tt0236010,1979,Amácio Mazzaropi,Male,Brazil,conductor
Tristeza do Jeca,tt0191585,1961,Amácio Mazzaropi,Male,Brazil,mayor
Amor e Medo,tt0296504,1974,José Wilker,Male,Brazil,filmmaker
O Signo de Escorpião,tt0184902,1974,Rodolfo Mayer,Male,Brazil,professor
A Ilha dos Paqueras,tt0139374,1970,Renato Aragão,Male,Brazil,passenger
Meteorango Kid: Herói Intergalático,tt0196749,1969,Antônio Luiz Martins,Male,Brazil,activist
O Homem de Papel,tt0184580,1976,Milton Moraes,Male,Brazil,reporter
O Homem do Corpo Fechado,tt0296671,1973,Roberto Bonfim,Male,Brazil,cowboy
Uma Verdadeira História de Amor,tt0191605,1971,Francisco Di Franco,Male,Brazil,engineer
Na Onda do Iê-Iê-Iê,tt0200884,1966,Renato Aragão,Male,Brazil,singer
Love Strange Love,tt0083552,1982,Vera Fischer,Female,Brazil,politician
Gabriela,tt0085575,1983,Sônia Braga,Female,Brazil,cook
Bye Bye Brazil,tt0080482,1980,José Wilker,Male,Brazil,magician
They Don't Wear Black Tie,tt0082317,1981,Gianfrancesco Guarnieri,Male,Brazil,leader
Hans Staden,tt0166635,1999,Carlos Evelyn,Male,Brazil,sailor
Mulher Objeto,tt0177016,1981,Helena Ramos,Female,Brazil,secretary
The Girl and the Rapist,tt0279223,1983,Zózimo Bulbul,Male,Brazil,butler
Isle of Flowers,tt0097564,1989,Paulo José,Male,Brazil,narrator
Luz del Fuego,tt0139440,1982,Lucélia Santos,Female,Brazil,dancer
Panic at Midnight,tt19727878,1997,Luke Kaleghan,Male,Brazil,deputy
Cassiopeia,tt0136748,1996,Osmar Prado,Male,Brazil,scientist
