title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Black Christmas,tt0071222,1974,Olivia Hussey,Female,Canada,caller
Crimes of the Future,tt0065591,1970,Ronald Mlodzik,Male,Canada,director
The Story of O,tt0073115,1975,Corinne Cléry,Female,Canada,photographer
Rabid,tt0076590,1977,Marilyn Chambers,Female,Canada,doctor
"Ilsa, the Wicked Warden",tt0076112,1977,Dyanne Thorne,Female,Canada,leader
The Incredible Journey,tt0057180,1963,Émile Genest,Male,Canada,bachelor
"Ilsa, Harem Keeper of the Oil Sheiks",tt0074670,1976,Dyanne Thorne,Female,Canada,dancer
The Trap,tt0061115,1966,Rita Tushingham,Female,Canada,consumer
Bear Island,tt0078836,1979,Donald Sutherland,Male,Canada,biologist
Les liens de sang,tt0076313,1978,Donald Sutherland,Male,Canada,detective
The Pyx,tt0070578,1973,Karen Black,Female,Canada,prostitute
The Little Brown Burro,tt0304337,1978,Lorne Greene,Male,Canada,storyteller
Eliza's Horoscope,tt0065685,1975,Elizabeth Moorman,Male,Canada,astrologer
Angela,tt0075681,1977,Sophia Loren,Female,Canada,narrator
Outrageous!,tt0076513,1977,Craig Russell,Male,Canada,turner
Plague,tt0078088,1979,Daniel Pilon,Male,Canada,dr.
Transfer,tt0061114,1966,Rafe Macpherson,Male,Canada,doctor
Skip Tracer,tt0075228,1977,David Petersen,Male,Canada,career
"Nikki, Wild Dog of the North",tt0055232,1961,Jean Coutu,Male,Canada,master
Love at First Sight,tt0071777,1977,Mary Ann McDonald,Male,Canada,restaurant
Jacob Two-Two Meets the Hooded Fang,tt0076222,1978,Stephen Rosenberg,Male,Canada,writer
Hey Cinderella!,tt0290655,1969,Belinda Montgomery,Female,Canada,king
Winter Kept Us Warm,tt0232954,1965,John Labow,Male,Canada,senior
Something's Rotten,tt0124881,1979,Charlotte Blunt,Female,Canada,queen
Taxi!!,tt0328513,1978,Eva Marie Saint,Female,Canada,passenger
The Heatwave Lasted Four Days,tt0125135,1975,Gordon Pinsent,Male,Canada,reporter
Bethune,tt0075743,1977,Donald Sutherland,Male,Canada,dr.
Madeleine Is...,tt0242631,1971,Nicola Lipman,Female,Canada,artist
Special Delivery,tt0206312,1978,Sandy Sanderson,Male,Canada,narrator
A Sweeter Song,tt0146298,1976,Jim Henshaw,Male,Canada,photographer
The Peep Show,tt0223901,1962,Stanley Jackson,Male,Canada,narrator
Slow Run,tt0228873,1968,Saul Rubinek,Male,Canada,narrator
The Hard Part Begins,tt0070154,1973,Donnelly Rhodes,Male,Canada,king
Canada Vignettes: Lady Frances Simpson,tt0236069,1978,Len Cariou,Male,Canada,narrator
The Owl and the Lemming: An Eskimo Legend,tt0067200,1971,Julie Wildman,Male,Canada,narrator
Canada Vignettes: Log Driver's Waltz,tt0133932,1979,Anna McGarrigle,Male,Canada,singer
Golden Apples of the Sun,tt0131993,1973,Elizabeth Suzuki,Male,Canada,worker
Spinnolio,tt0212531,1977,Henry Ramer,Male,Canada,narrator
The Fighting Men,tt0076025,1977,Allan Royal,Male,Canada,archer
Hedda Gabler,tt2355633,1978,Susan Clark,Female,Canada,academic
What on Earth!,tt0062353,1967,Donald Brittain,Male,Canada,narrator
Enemy Alien,tt0225622,1975,Stanley Jackson,Male,Canada,narrator
Blitzkrieg,tt0222829,1962,Budd Knapp,Male,Canada,narrator
Small Is Beautiful: Impressions of Fritz Schumacher,tt0203919,1978,Donald Brittain,Male,Canada,narrator
The Dawson Patrol,tt0301160,1978,George R. Robertson,Male,Canada,inspector
Bow and Arrow,tt0222845,1979,Donald Brittain,Male,Canada,narrator
Christ Is Risen,tt0225392,1976,Israel Hicks,Male,Canada,narrator
Cattle Ranch,tt0222945,1961,Thérèse Arbic,Male,Canada,narrator
Snow Job,tt0072183,1974,Barbara Hamilton,Female,Canada,driver
The Megantic Outlaw,tt0187274,1971,Lloyd Bochner,Male,Canada,inspector
French Without Dressing,tt0218283,1965,Laurie Darnell,Male,Canada,dancer
Orson Welles: The Paris Interview,tt0361752,1960,Bernard Braden,Male,Canada,interviewer
Canada Vignettes: Voyageurs,tt0225303,1978,Michael Kane,Male,Canada,narrator
Doctor Woman: The Life and Times of Dr. Elizabeth Bagshaw,tt0275308,1978,Elaine Caulder,Male,Canada,narrator
