title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Kuwait Connection,tt0477924,1973,Ezzat El Alaili,Male,Egypt,reporter
The Beginning and the End,tt0053652,1960,Farid Shawqi,Male,Egypt,officer
Watch Out for ZouZou,tt0784146,1972,Hussein Fahmy,Male,Egypt,professor
Al Wahm,tt12043194,1979,Mahmoud Yassine,Male,Egypt,engineer
Ashgaa ragel fil alam,tt0291732,1968,Tawfik El Deken,Male,Egypt,assistant
Al-Rasasa la tazalu fe gaibi,tt1795551,1974,Mahmoud Yassine,Male,Egypt,soldier
The River of Love,tt0210525,1960,Faten Hamamah,Female,Egypt,officer
Al Mothneboon,tt6829454,1975,Hussein Fahmy,Male,Egypt,investigator
Sonya and the Madman,tt0258193,1977,Mahmoud Yassine,Male,Egypt,mukhtar
Unfaithfulness,tt0376703,1965,Adel Adham,Male,Egypt,dr.
"Kheit al rafeigh, -al",tt0462687,1971,Faten Hamamah,Female,Egypt,employee
Street of the Sakkayines,tt0376640,1966,Sharifa Fadel,Female,Egypt,producer
The Advice of a Wise Man on the Affairs of Village and Education,tt19813442,1976,Gamil Ratib,Male,Egypt,commentator
Hekaya wara kol bab,tt0470060,1979,Safia El Emari,Female,Egypt,actress
Shayatin Elal Abad,tt2317071,1974,Adel Emam,Male,Egypt,firefighter
The Technical Director,tt0376776,1965,Farid Shawqi,Male,Egypt,teacher
Ghazia men Sonbat,tt0202372,1967,Sharifa Fadel,Female,Egypt,dancer
The Victims,tt5262354,1975,Nour El-Sherif,Male,Egypt,worker
A Woman's Loves,tt0359323,1960,Ahmed Ramzy,Male,Egypt,doctor
A Bachelor's Life,tt0370637,1963,Nadia Lutfi,Female,Egypt,bachelor
Destiny,tt0119629,1997,Nour El-Sherif,Male,Egypt,philosopher
The Other,tt0196355,1999,Hanan Turk,Female,Egypt,journalist
The Wife of an Important Man,tt0171922,1987,Mervat Amin,Female,Egypt,police officer
Death of a Princess,tt0277667,1980,Sawsan Badr,Female,Egypt,newspaper
The Street Player,tt0327835,1983,Adel Emam,Male,Egypt,football player
Elwad mahrous betaa alwazir,tt1527106,1999,Adel Emam,Male,Egypt,farmer
Sleeping in Honey,tt1423927,1996,Adel Emam,Male,Egypt,officer
The Stolen Joy,tt0111074,1994,Lucy,Male,Egypt,seller
Resala ela alwaly,tt1527193,1998,Adel Emam,Male,Egypt,knight
The Ghoul,tt1535511,1983,Adel Emam,Male,Egypt,newspaper
Waheda Bewaheda,tt2241703,1984,Adel Emam,Male,Egypt,general manager
Beggars and Proud Ones,tt0262614,1991,Salah El-Saadany,Male,Egypt,professor
Ragol Fakad Aklah,tt2241455,1980,Farid Shawqi,Male,Egypt,engineer
Ramadan Above the Volcano,tt1529322,1985,Adel Emam,Male,Egypt,employee
Antar Shayel Saifoh,tt2170283,1983,Adel Emam,Male,Egypt,farmer
Raya Wa Sekina,tt2304885,1983,Younes Shalaby,Male,Egypt,actor
Nagi El-Ali,tt0102509,1991,Nour El-Sherif,Male,Egypt,cartoonist
Al-Awwama rakm 70,tt2689874,1982,Ahmed Zaki,Male,Egypt,film director
Gabr Al Khawater,tt11050148,1998,Ashraf Abdel Baky,Male,Egypt,dr.
Laila Baka Feha Al Qamar,tt2102360,1980,Sabah,Female,Egypt,singer
La tasalni man ana,tt0425179,1984,Shadia,Female,Egypt,servant
Intakhebo El-Doctoor Sulieman Abdel Basset,tt2241243,1981,Adel Emam,Male,Egypt,dr.
131 Ashghal,tt11707560,1993,Nour El-Sherif,Male,Egypt,vendor
Lel Hob Qesa Akhira,tt8739556,1986,Yehia El-Fakharany,Male,Egypt,teacher
Halet Talaboss,tt8123502,1988,Samah Anwar,Female,Egypt,officer
The braves,tt9070112,1992,Mahmoud Yassine,Male,Egypt,leader
85 Genayat,tt11879514,1993,Hussein Fahmy,Male,Egypt,governor
Al Kalam Fi Al Mamnou,tt7444992,1998,Nour El-Sherif,Male,Egypt,officer
El Sakakeeni,tt8146150,1986,Nour El-Sherif,Male,Egypt,employee
Ana Mesh Harameya,tt12025840,1983,Soheir Ramzy,Female,Egypt,acting
Ightiyal,tt11061522,1996,Ashraf Abdel Baky,Male,Egypt,newspaper
Allaeiba,tt15355032,1987,Hussein Fahmy,Male,Egypt,manager
Zaki Chan,tt0827788,2005,Ahmed Helmy,Male,Egypt,bodyguard
Dunia,tt0479901,2005,Hanan Turk,Female,Egypt,dancer
"Chaos, This Is",tt1085799,2007,Khaled Saleh,Male,Egypt,police officer
Can't Complain,tt2244947,2007,Ahmed Helmy,Male,Egypt,psychiatrist
Life's Speed Bump,tt1010422,2006,Ahmed Helmy,Male,Egypt,secretary
His Excellency the Minister,tt0355715,2002,Ahmed Zaki,Male,Egypt,minister
Wahed men el nas,tt2605480,2007,Karim Abdel Aziz,Male,Egypt,attendant
The Traveller,tt1498709,2009,Omar Sharif,Male,Egypt,engineer
The Replacement,tt1589417,2009,Ahmed Ezz,Male,Egypt,police officer
Private Alexandria,tt0422708,2005,Ahmed Ezz,Male,Egypt,lawyer
Mowaten we mokhber we haramy,tt0323303,2001,Kal Naga,Male,Egypt,detective
Transit Prisoner,tt1589484,2008,Ahmed Ezz,Male,Egypt,guard
Downtown Girls,tt0431645,2005,Kal Naga,Male,Egypt,chef
Sayed el atifi,tt0835053,2005,Tamer Hosny,Male,Egypt,driver
Al-naama wa al tawoos,tt0422798,2002,Lebleba,Female,Egypt,dr.
Malek wa ketaba,tt0425223,2005,Mahmoud Hemida,Male,Egypt,doctor
Kan yom hobak,tt0419870,2004,Khaled Selim,Male,Egypt,artist
Joys of Life,tt2144550,2005,Hanan Turk,Female,Egypt,driver
None But That!,tt0882785,2006,Nabila Ebeid,Female,Egypt,hunter
18 Days,tt1982848,2011,Ahmed Helmy,Male,Egypt,tailor
X-Large,tt2156807,2011,Ahmed Helmy,Male,Egypt,coach
Wahed Saheh,tt2147758,2011,Hani Salama,Male,Egypt,engineer
Bebo Wa Bashir,tt3375108,2011,Menna Shalabi,Female,Egypt,player
The Blue Elephant,tt3461252,2014,Karim Abdel Aziz,Male,Egypt,dr.
Factory Girl,tt3182596,2013,Yasmin Raeis,Female,Egypt,factory worker
World War III,tt3957098,2014,Ahmed Fahmy,Male,Egypt,football player
Out of the Ordinary,tt4370358,2014,Kal Naga,Male,Egypt,dr.
Warda,tt4183910,2014,Farouk Hashem,Male,Egypt,video blogger
The Price,tt4285988,2015,Amr Youssef,Male,Egypt,driver
Dry Hot Summers,tt5139810,2015,Mohamed Farid,Male,Egypt,specialist
Tisbah ala Khair,tt7064766,2017,Tamer Hosny,Male,Egypt,engineer
Cactus Flower,tt6520568,2017,Salma Samy,Male,Egypt,actress
"Ali, the Goat and Ibrahim",tt4473378,2016,Asser Yassin,Male,Egypt,officer
The Blue Elephant 2,tt10515086,2019,Karim Abdel Aziz,Male,Egypt,dr.
Luxor,tt10039524,2020,Andrea Riseborough,Female,Egypt,worker
You Will Die at 20,tt9686154,2019,Mustafa Shehata,Male,Egypt,writer
Dedo,tt10657684,2021,Karim Fahmy,Male,Egypt,scientist
The Secret Men Club,tt9663702,2019,Karim Abdel Aziz,Male,Egypt,dentist
Aladdin,tt12458240,2020,Ahmed Ezz,Male,Egypt,tailor
Habib,tt11162714,2019,Sayed Ragab,Male,Egypt,hairdresser
Ward's Henna Party,tt11830928,2020,Halima,Male,Egypt,painter
The Naiad,tt12949034,2019,Hanan Turk,Female,Egypt,doctor
