title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Barbarella,tt0062711,1968,Jane Fonda,Female,France,astronaut
The Story of O,tt0073115,1975,Corinne Cléry,Female,France,photographer
La Piscine,tt0064816,1969,Alain Delon,Male,France,writer
Fantastic Planet,tt0070544,1973,Jennifer Drake,Male,France,master
Z,tt0065234,1969,Yves Montand,Male,France,deputy
Purple Noon,tt0054189,1960,Alain Delon,Male,France,forger
The Conformist,tt0065571,1970,Jean-Louis Trintignant,Male,France,professor
Going Places,tt0072353,1974,Gérard Depardieu,Male,France,doctor
Le Samouraï,tt0062229,1967,Alain Delon,Male,France,hitman
Fantomas,tt0058089,1964,Jean Marais,Male,France,journalist
Shining Sex,tt0232633,1976,Lina Romay,Female,France,dancer
Claire's Knee,tt0065772,1970,Jean-Claude Brialy,Male,France,career
Day for Night,tt0070460,1973,Jacqueline Bisset,Female,France,baker
Alphaville,tt0058898,1965,Eddie Constantine,Male,France,agent
La Jetée,tt0056119,1962,Jean Négroni,Male,France,narrator
The Road to Salina,tt0067681,1970,Mimsy Farmer,Female,France,sheriff
Au hasard Balthazar,tt0060138,1966,Anne Wiazemsky,Female,France,teacher
Black Girl,tt0060758,1966,Mbissine Thérèse Diop,Female,France,servant
Le Cercle Rouge,tt0065531,1970,Alain Delon,Male,France,master
A Virgin Among the Living Dead,tt0066914,1973,Christina von Blanc,Male,France,queen
Emmanuelle 3,tt0077497,1977,Sylvia Kristel,Female,France,architect
My Night at Maud's,tt0064612,1969,Jean-Louis Trintignant,Male,France,engineer
The Last Woman,tt0075364,1976,Gérard Depardieu,Male,France,engineer
La Chinoise,tt0061473,1967,Anne Wiazemsky,Female,France,official
And Soon the Darkness,tt0065398,1970,Pamela Franklin,Female,France,proprietor
Celine and Julie Go Boating,tt0071381,1974,Juliet Berto,Female,France,nanny
The Demoniacs,tt0070013,1974,Joëlle Coeur,Female,France,leader
Tarzoon: Shame of the Jungle,tt0073691,1975,Bernard Dhéran,Male,France,narrator
Get Out Your Handkerchiefs,tt0078122,1978,Gérard Depardieu,Male,France,restaurant
Lola,tt0055093,1961,Anouk Aimée,Female,France,dancer
A Cop,tt0067900,1972,Alain Delon,Male,France,commissioner
That Most Important Thing: Love,tt0073155,1975,Romy Schneider,Female,France,photographer
The Nun,tt0060891,1966,Anna Karina,Female,France,lawyer
Isadora,tt0063141,1968,Vanessa Redgrave,Female,France,dancer
Le Doulos,tt0054821,1962,Jean-Paul Belmondo,Male,France,inspector
Fantomas vs. Scotland Yard,tt0060400,1967,Jean Marais,Male,France,journalist
Trans-Europ-Express,tt0061113,1966,Jean-Louis Trintignant,Male,France,newspaper
"Lacombe, Lucien",tt0071733,1974,Pierre Blaise,Male,France,soldier
Love at the Top,tt0071864,1974,Jean-Louis Trintignant,Male,France,employee
More,tt0064694,1969,Mimsy Farmer,Female,France,miller
Diabolically Yours,tt0061568,1967,Alain Delon,Male,France,soldier
Le Magnifique,tt0070354,1973,Jean-Paul Belmondo,Male,France,writer
Shoot the Piano Player,tt0054389,1960,Charles Aznavour,Male,France,prostitute
The Legend of Frenchie King,tt0067637,1971,Brigitte Bardot,Female,France,miller
"Farewell, Friend",tt0062639,1968,Alain Delon,Male,France,doctor
Zazie dans le Métro,tt0054494,1960,Catherine Demongeot,Female,France,restaurant
A Quiet Place to Kill,tt0064787,1970,Carroll Baker,Female,France,driver
Fantomas Unleashed,tt0059168,1965,Jean Marais,Male,France,professor
State of Siege,tt0070959,1972,Yves Montand,Male,France,official
Spermula,tt0075251,1976,Dayle Haddon,Female,France,leader
The Wing or The Thigh?,tt0074103,1976,Louis de Funès,Male,France,restaurant
