title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Never on Sunday,tt0054198,1960,Melina Mercouri,Female,Greece,classical scholar
Agapi mou Oua-Oua,tt0229962,1974,Kakia Analyti,Female,Greece,author
A Dream of Passion,tt0077473,1978,Melina Mercouri,Female,Greece,actor
The Countess of Corfu,tt0182262,1972,Rena Vlahopoulou,Female,Greece,teacher
Her Private Life,tt0499219,1971,Anna Fonsou,Female,Greece,criminal investigator
Assignment Skybolt,tt0263545,1968,Nikos Kourkoulos,Male,Greece,secret service agent
Visibility Zero,tt0183611,1970,Nikos Kourkoulos,Male,Greece,responsible
The Punk of Fokionos Negri,tt0201013,1965,Alexandra Ladikou,Male,Greece,heiress
O Asymvivastos,tt0163612,1979,Pavlos Sidiropoulos,Male,Greece,street musician
Rendez-vous in the Air,tt0145426,1966,Rena Vlahopoulou,Female,Greece,actress
A Patented Stupid Man,tt0204300,1963,Vasilis Avlonitis,Male,Greece,mayor
Hristina,tt0123109,1960,Jenny Karezi,Female,Greece,waiter
Queen of Clubs,tt0144854,1966,Elena Nathanail,Female,Greece,employee
Vio-grafia,tt0292335,1975,Giorgos Kyritsis,Male,Greece,narrator
A Matter of Conscience,tt0197019,1973,Nikos Kourkoulos,Male,Greece,dr.
Stop or I'll Shoot,tt0252855,1969,Filios Filippidis,Male,Greece,butcher
Jane Eyre,tt0264116,1968,Hristina Sylva,Male,Greece,manor
Aftoi pou xehasan ton orko tous,tt0252208,1971,Kostas Karras,Male,Greece,doctor
We Haven't Got a Cent,tt0215747,1963,Pantelis Zervos,Male,Greece,confectioner
Landscape in the Mist,tt0096288,1988,Michalis Zeke,Male,Greece,driver
Singapore Sling,tt0100623,1990,Meredyth Herold,Female,Greece,chauffeur
Rembetiko,tt0086182,1983,Sotiria Leonardou,Female,Greece,singer
Morning Patrol,tt0093791,1987,Michele Valley,Female,Greece,guard
Bordello,tt0216589,1985,Marina Vlady,Female,Greece,madam
Cavafy,tt0115849,1996,Dimitris Katalifos,Male,Greece,poet
The Mating Game,tt0182977,1999,Natalia Dragoumi,Female,Greece,instructor
Wild Jokes in the Classroom,tt0200416,1983,Nikos Rizos,Male,Greece,schoolmaster
Eleftherios Venizelos: 1910-1927,tt0164021,1980,Minas Christidis,Male,Greece,politician
O anthropos pou to 'paize poly!,tt0252893,1983,Kostas Rigopoulos,Male,Greece,detective
"Nights, Gambled Away",tt0129525,1997,Jasmin Tabatabai,Female,Greece,dancer
Kathenas me tin trella tou...,tt0263551,1980,Mairi Hronopoulou,Female,Greece,journalist
See You,tt0168074,1997,Akis Sakellariou,Male,Greece,intellectual
To athoo soma,tt0306483,1997,Iris Chatziantoniou,Female,Greece,scientist
Eimai...,tt0262391,1983,Lydia Lenosi,Female,Greece,prostitute
To 1821 kai oi xenoi zografoi,tt10698678,1992,Stelios Drivas,Male,Greece,narrator
Horis martyres,tt0258658,1983,Petros Fyssoun,Male,Greece,dr.
To kokkino treno,tt0263585,1982,Lakis Komninos,Male,Greece,soldier
Stin akri tis polis,tt1682945,1995,Giannis Anastasakis,Male,Greece,narrator
"Money, a Mythology of Darkness",tt0239657,1998,Yorgos Karamihos,Male,Greece,narrator
A... Daring Story,tt0264890,1993,Andreas Vlahokiriakos,Male,Greece,writer
Angelos Sikelianos,tt6524414,1981,Antonis Antoniou,Male,Greece,reciter
Mia ateleioti nyhta,tt15552022,1998,Kostas Prekas,Male,Greece,inspector
Spinalonga,tt1411958,1981,Dimitris Mavrikios,Male,Greece,narrator
Sonia,tt0256401,1980,Antigoni Doudoumi,Male,Greece,teacher
I agnosti Ellada: To mihanima ton Antikythiron kai ta robot tis arhaiotitas (I tehnologia ton arhaion),tt4557780,1988,Dimitris Kaberidis,Male,Greece,narrator
Oi Ai-Symiotes tou Mesolongiou,tt1538356,1990,Nikitas Tsakiroglou,Male,Greece,narrator
We Greeks,tt1706355,1996,Takis Papamattheou,Male,Greece,narrator
Dogtooth,tt1379182,2009,Christos Stergioglou,Male,Greece,security guard
Kinetta,tt0477991,2005,Evangelia Randou,Female,Greece,chambermaid
Strella,tt1332125,2009,Mina Orfanou,Female,Greece,worker
Petit crime,tt1077252,2008,Aris Servetalis,Male,Greece,officer
The Homecoming,tt1142830,2007,Arto Apartian,Male,Greece,labor
In Good Company,tt0273567,2000,Giorgos Kimoulis,Male,Greece,doctor
Le perdant ramasse tout,tt0352531,2002,Giannis Angelakas,Male,Greece,dancer
Second Nature,tt0815743,2005,Iordanis Kalesis,Male,Greece,naval officer
Under Your Make-up,tt1320100,2008,Ariel Konstantinidi,Female,Greece,employee
Pandora,tt1106847,2006,Theodora Tzimou,Female,Greece,queen
The Seventh Sun of Love,tt0313580,2001,Katerina Papadaki,Female,Greece,army officer
The Pop Corn Movie,tt1363131,2008,Kostas Afionis,Male,Greece,narrator
Close to the Edge,tt0955388,2006,Tasos Nousias,Male,Greece,driver
Throw of Dice,tt0442824,2004,Anatoli Athanasiadou,Female,Greece,driver
1922: O megalos xerizomos,tt10092528,2007,Angeliki Dimitrakopoulou,Female,Greece,narrator
The Snow-White Syndrome,tt1322996,2008,Manos Vakousis,Male,Greece,doctor
Song of the Monk Seal,tt1732173,2001,Lydia Koniordou,Female,Greece,narrator
Pavlos Melas: Grammata ap' ti Makedonia,tt9721754,2008,Leonidas Kakouris,Male,Greece,narrator
Dyo gamoi kai mia moiheia,tt7212106,2002,Nikos Papanastasiou,Male,Greece,gardener
O Hristos stin orthodoxi tehni,tt4911822,2008,Nikitas Tsakiroglou,Male,Greece,narrator
Attenberg,tt1691323,2010,Ariane Labed,Female,Greece,architect
Alps,tt1859446,2011,Angeliki Papoulia,Female,Greece,driver
L,tt2095684,2012,Aris Servetalis,Male,Greece,driver
Ziteitai pseftis,tt1730749,2010,Ieroklis Michaelidis,Male,Greece,minister
Black Storm,tt4970308,2011,Giorgos Giannopoulos,Male,Greece,coach
Positive Stories,tt1786728,2010,Spiros Papadopoulos,Male,Greece,doctor
Magic Hour,tt2130120,2011,Renos Haralambidis,Male,Greece,director
Iceberg,tt2376368,2012,Pavlos Iordanopoulos,Male,Greece,conspiracy theorist
The Pontians: New Generation,tt2069882,2011,Pavlos Kontoyannidis,Male,Greece,director
The Guide,tt1592530,2010,Michalis Ikonomou,Male,Greece,career
Mary Stuart,tt5848806,2011,Maria Skountzou,Female,Greece,queen
Chelsea-Barcelona,tt2452230,2012,Makis Papadimitriou,Male,Greece,teller
Meeting,tt8184172,2010,Dimitris Antoniou,Male,Greece,driver
Sta hnaria ton Argonafton,tt1934403,2011,Kostas Arzoglou,Male,Greece,narrator
"12,410 and One Roses",tt13507710,2010,Giannis Mortzos,Male,Greece,narrator
Ta monastiria kai oi ekklisies tis Androu,tt1894562,2011,Olina Xenopoulou,Female,Greece,narrator
I Thessaloniki mesa apo tin poiisi,tt5626122,2012,Fotini Baxevani,Female,Greece,reciter
Mathe Ergati Pos,tt3482720,2011,Dimitris Drosos,Male,Greece,worker
Lefki Simfonia,tt2103207,2010,Aineias Tsamatis,Male,Greece,dealer
Lost Toys,tt2075240,2010,Petros Lagoutis,Male,Greece,artist
Sofronismos,tt12509574,2012,Anastasia Katsinavaki,Female,Greece,reciter
23 Night Ride,tt2061565,2010,Gerasimos Gennatas,Male,Greece,bus driver
Aigileia: Navagio IV,tt10403042,2012,Theodora Siarkou,Female,Greece,narrator
Lenidi: O sigouros topos,tt4679630,2010,Dimitris Kontogiannis,Male,Greece,narrator
Norway,tt3779814,2014,Vangelis Mourikis,Male,Greece,dancer
The Eternal Return of Antonis Paraskevas,tt2655938,2013,Christos Stergioglou,Male,Greece,journalist
I Kori Tou Rembrandt,tt3751332,2015,Lakis Lazopoulos,Male,Greece,critic
7 Kinds of Wrath,tt4235516,2014,Maximos Moumouris,Male,Greece,archaeologist
Forever,tt4604680,2015,Leonidas Kakouris,Male,Greece,sailor
Zoe,tt12250344,2015,Nikos Apergis,Male,Greece,doctor
Impressions of a Drowned Man,tt4365548,2015,Thodoris Pentidis,Male,Greece,passenger
"Idio, the AudioVisual Portrait of a Hypocrite, on Ochre Background",tt3413854,2013,Christos Kapenis,Male,Greece,actor
Amendment 10/60,tt3038558,2013,Orfeas Avgoustidis,Male,Greece,assistant
The Locksmith,tt5221598,2015,Yorgos Arachovitis,Male,Greece,locksmith
Bam Boom Bang Vol. 2,tt7829974,2015,Kostas Antalopoulos,Male,Greece,writer
The Life of a Dead Man,tt5103066,2015,Apostolos Kolokythas,Male,Greece,filmmaker
Swordfights,tt3474608,2013,Thanos Alexiou,Male,Greece,psychiatrist
Sikelia. Magna Grecia. Ellinon apotypomata,tt4127404,2014,Panos Hatzikoutselis,Male,Greece,narrator
March 4,tt4707820,2015,Giannis Anastasakis,Male,Greece,butcher
The Doll,tt7981898,2014,Dimitris Drosos,Male,Greece,salesman
Ta mathimatika ydrevoun ti Samo,tt4132784,2013,Laertis Malkotsis,Male,Greece,narrator
Sxoliki Melodia,tt6642034,2014,Omiros Poulakis,Male,Greece,professor
Polk,tt4574674,2014,Thanassis Georgiou,Male,Greece,restaurant
The Waiter,tt7838494,2018,Aris Servetalis,Male,Greece,waiter
Suntan,tt3954660,2016,Makis Papadimitriou,Male,Greece,dr.
Eteros ego,tt5221894,2016,Pigmalion Dadakaridis,Male,Greece,professor
Smuggling Hendrix,tt4974616,2018,Adam Bousdoukos,Male,Greece,musician
Lines,tt2990464,2016,Themis Panou,Male,Greece,minister
"Love, Love, Love",tt4934408,2016,Angeliki Papathemeli,Female,Greece,stripper
Phalaenopsis Alba,tt9070438,2018,Serafita Grigoriadou,Female,Greece,operator
Last Breach,tt8945080,2018,Tasos Andreadis,Male,Greece,minister
Onslaught,tt6858778,2016,Nikos Poursanidis,Male,Greece,director
Whale 52,tt6327386,2016,Aris Balis,Male,Greece,diver
In Search of Kazantzakis,tt17153786,2018,Makis Papadimitriou,Male,Greece,narrator
Re-action,tt7527702,2017,Tania Tripi,Female,Greece,actor
Brazuca,tt6997858,2017,Boyko Paskalev,Male,Greece,goalkeeper
Rebirthday,tt6136104,2017,Kostas Berikopoulos,Male,Greece,servant
Apagogi,tt14974740,2016,Sotiris Kalivatsis,Male,Greece,driver
Chairs,tt11841310,2018,Takis Papamattheou,Male,Greece,narrator
Incidentally,tt10828588,2018,Maria Kehayioglou,Male,Greece,preparation
Doxaras: To sidirodromiko dystyhima,tt11248538,2016,Nikos Karageorgos,Male,Greece,station master
For Electra's Love,tt5783558,2016,Takis Papamattheou,Male,Greece,director
The Lost Daughter,tt9100054,2021,Olivia Colman,Female,Greece,professor
Monday,tt8884906,2020,Denise Gough,Female,Greece,lawyer
Eftihia,tt10710246,2019,Karyofyllia Karabeti,Female,Greece,songwriter
Green Sea,tt11623722,2020,Angeliki Papoulia,Female,Greece,cook
The Miracle of the Sargasso Sea,tt7703070,2019,Angeliki Papoulia,Female,Greece,worker
Tailor,tt13317230,2020,Dimitris Imellos,Male,Greece,tailor
A Summer Place,tt11239486,2021,Mary Mina,Female,Greece,player
"Brutalia, Days of Labour",tt14690342,2021,Chara Mata Giannatou,Female,Greece,queen
...gia panta,tt11621650,2020,Yannis Tsimitselis,Male,Greece,collector
"Not to Be Unpleasant, But We Need to Have a Serious Talk",tt7120540,2019,Omiros Poulakis,Male,Greece,carrier
The Interrogation,tt10466346,2019,Penelope Tsilika,Female,Greece,artist
Horsepower,tt15128372,2021,Ioanna Kolliopoulou,Female,Greece,artist
The Audience,tt13687494,2020,Periklis Moustakis,Male,Greece,director
The Ride,tt14396106,2021,Makis Papadimitriou,Male,Greece,driver
Anapafsis,tt13184508,2020,Adamantios Dadoulas,Male,Greece,soldier
I Only See in Me the Sea,tt9002280,2019,Vangelis Germanos,Male,Greece,narrator
My Dear Anna,tt12548988,2020,Konstantinos Lagkos,Male,Greece,writer
With New Eyes,tt11816238,2020,Giannis Sarakatsanis,Male,Greece,tenant
Distorted Reality,tt10198174,2019,Petros Apostolopoulos,Male,Greece,psychologist
