title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Sampoorna Ramayana,tt0242840,1961,Mahipal,Male,India,king
Hum Kisise Kum Naheen,tt0076167,1977,Rishi Kapoor,Male,India,manager
Kaajal,tt0139398,1965,Meena Kumari,Female,India,clerk
Don,tt0077451,1978,Amitabh Bachchan,Male,India,inspector
Mere Humsafar,tt0215988,1970,Sharmila Tagore,Female,India,director
Bhumika,tt0075747,1977,Smita Patil,Female,India,devadasi
Guide,tt0059246,1965,Dev Anand,Male,India,guide
Patthar Ke Sanam,tt0176012,1967,Waheeda Rehman,Female,India,manager
The Great Gambler,tt0079236,1979,Amitabh Bachchan,Male,India,inspector
Kasme Vaade,tt0077792,1978,Rakhee Gulzar,Female,India,lecturer
Amrapali,tt0060104,1966,Vyjayanthimala,Female,India,soldier
Tere Mere Sapne,tt0067840,1971,Dev Anand,Male,India,dr.
Caravan,tt0066888,1971,Asha Parekh,Female,India,employee
Muqaddar Ka Sikandar,tt0079590,1978,Amitabh Bachchan,Male,India,fakir
Neel Kamal,tt0148523,1968,Waheeda Rehman,Female,India,artisan
Barsaat Ki Raat,tt0053637,1960,Madhubala,Female,India,police commissioner
Kaala Patthar,tt0079386,1979,Amitabh Bachchan,Male,India,merchant
Buddha Mil Gaya,tt0244443,1971,Navin Nischol,Male,India,newspaper
Do Gaz Zameen Ke Neeche,tt0252385,1972,Surendra Kumar,Male,India,scientist
Sawan Ko Aane Do,tt0388389,1979,Rita Bhaduri,Female,India,singer
Jwar Bhata,tt0357819,1973,Saira Banu,Female,India,secretary
Pyar Hi Pyar,tt0064857,1969,Vyjayanthimala,Female,India,industrialist
Aya Sawan Jhoom Ke,tt0229950,1969,Asha Parekh,Female,India,responsible
Adalat,tt0075632,1976,Amitabh Bachchan,Male,India,farmer
Mahabharat,tt0242636,1965,Abhi Bhattacharya,Male,India,charioteer
Kala Bazar,tt0053980,1960,Dev Anand,Male,India,conductor
Prem Pujari,tt0066241,1970,Dev Anand,Male,India,army officer
Bombai Ka Babu,tt0053629,1960,Dev Anand,Male,India,inspector
Uski Roti,tt0066514,1970,Gurdeep Singh,Male,India,bus driver
Mere Apne,tt0067421,1971,Meena Kumari,Female,India,maid
