title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Once Upon a Time in the West,tt0064116,1968,Claudia Cardinale,Female,Italy,prostitute
Malicious,tt0070358,1973,Laura Antonelli,Female,Italy,housekeeper
1900,tt0074084,1976,Robert De Niro,Male,Italy,composer
That Malicious Age,tt0073597,1976,Gloria Guida,Female,Italy,gardener
Django,tt0060315,1966,Franco Nero,Male,Italy,prostitute
The Decameron,tt0065622,1971,Franco Citti,Male,Italy,merchant
My Name Is Nobody,tt0070215,1973,Terence Hill,Male,Italy,barber
Black Emanuelle,tt0072930,1975,Laura Gemser,Female,Italy,photographer
Paranoia,tt0063413,1969,Carroll Baker,Female,Italy,lawyer
Appassionata,tt0071154,1974,Gabriele Ferzetti,Male,Italy,dr.
Luna,tt0079495,1979,Jill Clayburgh,Female,Italy,singer
Torso,tt0069920,1973,Suzy Kendall,Female,Italy,doctor
They Call Me Trinity,tt0067355,1970,Terence Hill,Male,Italy,restaurant
Let Sleeping Corpses Lie,tt0071431,1974,Cristina Galb,Female,Italy,photographer
The Sensuous Nurse,tt0074682,1975,Ursula Andress,Female,Italy,physician
L'Avventura,tt0053619,1960,Gabriele Ferzetti,Male,Italy,journalist
Day for Night,tt0070460,1973,Jacqueline Bisset,Female,Italy,baker
La Notte,tt0054130,1961,Marcello Mastroianni,Male,Italy,writer
Slave of the Cannibal God,tt0077945,1978,Ursula Andress,Female,Italy,anthropologist
Beyond the Door,tt0071212,1974,Juliet Mills,Female,Italy,executive
Stay as You Are,tt0077373,1978,Marcello Mastroianni,Male,Italy,landscape architect
Red Desert,tt0058003,1964,Monica Vitti,Female,Italy,doctor
The Gestapo's Last Orgy,tt0074569,1977,Adriano Micantoni,Male,Italy,commandant
Two Women,tt0054749,1960,Sophia Loren,Female,Italy,shopkeeper
Enter the Devil,tt0072147,1974,Stella Carnacina,Female,Italy,professor
"Watch Out, We're Mad",tt0069697,1974,Terence Hill,Male,Italy,restaurant
A Lizard in a Woman's Skin,tt0067361,1971,Florinda Bolkan,Female,Italy,lawyer
Trinity Is Still My Name,tt0068154,1971,Terence Hill,Male,Italy,pioneer
A Quiet Place in the Country,tt0065119,1968,Franco Nero,Male,Italy,artist
The Beast in Heat,tt0076649,1977,Macha Magall,Female,Italy,dr.
Your Vice Is a Locked Room and Only I Have the Key,tt0069421,1972,Edwige Fenech,Female,Italy,prostitute
Accattone,tt0054599,1961,Franco Citti,Male,Italy,prostitute
Hitch-Hike,tt0077188,1977,Franco Nero,Male,Italy,reporter
Seduction,tt0070660,1973,Lisa Gastoni,Female,Italy,journalist
Scandal in the Family,tt0073524,1975,Michele Placido,Male,Italy,cook
Footprints on the Moon,tt0071950,1975,Florinda Bolkan,Female,Italy,interpreter
The Family Vice,tt0073870,1975,Edwige Fenech,Female,Italy,industrialist
Sunflower,tt0065782,1970,Sophia Loren,Female,Italy,soldier
Emanuelle and the Last Cannibals,tt0075984,1977,Laura Gemser,Female,Italy,photojournalist
High Crime,tt0070552,1973,Franco Nero,Male,Italy,drug dealer
Keoma,tt0074740,1976,Franco Nero,Male,Italy,soldier
A Quiet Place to Kill,tt0064787,1970,Carroll Baker,Female,Italy,driver
"At Last, at Last",tt0073398,1975,Edwige Fenech,Female,Italy,lawyer
"Black Emmanuelle, White Emmanuelle",tt0075766,1976,Laura Gemser,Female,Italy,fashion model
The House with Laughing Windows,tt0074287,1976,Lino Capolicchio,Male,Italy,restorer
The Suspicious Death of a Minor,tt0073406,1975,Claudio Cassinelli,Male,Italy,detective
Eye in the Labyrinth,tt0067513,1972,Rosemary Dexter,Female,Italy,psychiatrist
Emanuelle in Bangkok,tt0074478,1976,Laura Gemser,Female,Italy,photojournalist
Four Times That Night,tt0069141,1971,Daniela Giordano,Female,Italy,model
Night Nurse,tt0077732,1979,Gloria Guida,Female,Italy,assistant
The Teasers,tt0073290,1975,Gloria Guida,Female,Italy,professor
Knife of Ice,tt0068394,1972,Carroll Baker,Female,Italy,singer
Messalina,tt0055169,1960,Belinda Lee,Female,Italy,noble
The Pizza Triangle,tt0065662,1970,Marcello Mastroianni,Male,Italy,construction worker
Mandinga,tt0074855,1976,Antonio Gismondo,Male,Italy,hunter
Madeleine: Anatomy of a Nightmare,tt0125896,1974,Camille Keaton,Female,Italy,musician
Un dramma borghese,tt0079077,1979,Franco Nero,Male,Italy,journalist
The Tough Ones,tt0075152,1976,Maurizio Merli,Male,Italy,commissioner
Even Angels Eat Beans,tt0069713,1973,Giuliano Gemma,Male,Italy,trainer
Before the Revolution,tt0056371,1964,Adriana Asti,Female,Italy,responsible
The Crimes of the Black Cat,tt0069253,1972,Anthony Steffen,Male,Italy,composer
Illustrious Corpses,tt0074262,1976,Lino Ventura,Male,Italy,inspector
"Django, Prepare a Coffin",tt0062151,1968,Terence Hill,Male,Italy,career
Death Walks at Midnight,tt0068971,1972,Nieves Navarro,Female,Italy,fashion model
The Hanging Woman,tt0069046,1973,Stelvio Rosi,Male,Italy,professor
Intimate Relations,tt0079349,1975,Simonetta Stefanelli,Female,Italy,entrepreneur
When Love Is Lust,tt0140489,1973,Agostina Belli,Female,Italy,butcher
Horror Castle,tt0057646,1963,Rossana Podest,Female,Italy,hunter
A Very Private Affair,tt0055599,1962,Brigitte Bardot,Female,Italy,producer
Voglia di donna,tt0153584,1978,Gianni Cavina,Male,Italy,scientist
Yellow Emanuelle,tt0074914,1977,Chai Lee,Female,Italy,dr.
Che dottoressa ragazzi!,tt0074303,1976,Maria Pia Conte,Female,Italy,doctor
'Tis Pity She's a Whore,tt0069678,1971,Charlotte Rampling,Female,Italy,noble
The Organiser,tt0056945,1963,Marcello Mastroianni,Male,Italy,professor
Il prefetto di ferro,tt0076564,1977,Giuliano Gemma,Male,Italy,prefect
"Texas, Adios",tt0060143,1966,Franco Nero,Male,Italy,sheriff
Le témoin,tt0078377,1978,Alberto Sordi,Male,Italy,artist
Fort Yuma Gold,tt0061773,1966,Giuliano Gemma,Male,Italy,guide
Queen of the Nile,tt0055222,1961,Jeanne Crain,Female,Italy,queen
The Loves of Hercules,tt0053598,1960,Jayne Mansfield,Female,Italy,queen
Traffic Jam,tt0077734,1979,Alberto Sordi,Male,Italy,dr.
The Nurse in the Military Madhouse,tt0080922,1979,Nadia Cassini,Female,Italy,singer
Africa Express,tt0072614,1975,Giuliano Gemma,Male,Italy,trader
First Love,tt0129320,1978,Ugo Tognazzi,Male,Italy,comedian
The Conjugal Bed,tt0057532,1963,Ugo Tognazzi,Male,Italy,dealer
A Pain in the Ass,tt0072934,1973,Lino Ventura,Male,Italy,hitman
La soldatessa alla visita militare,tt0076735,1977,Edwige Fenech,Female,Italy,doctor
Check to the Queen,tt0166789,1969,Rosanna Schiaffino,Female,Italy,actress
Allonsanfan,tt0069690,1974,Marcello Mastroianni,Male,Italy,master
Son of Samson,tt0054044,1960,Mark Forest,Male,Italy,queen
The Sunday Woman,tt0074423,1975,Marcello Mastroianni,Male,Italy,commissioner
Satanik,tt0063549,1968,Magda Konopka,Female,Italy,dr.
La califfa,tt0065516,1970,Ugo Tognazzi,Male,Italy,industrialist
Evil Eye,tt0071471,1975,Anthony Steffen,Male,Italy,inspector
White Fang,tt0069536,1973,Franco Nero,Male,Italy,writer
The Anonymous Venetian,tt0065408,1970,Florinda Bolkan,Female,Italy,musician
"Messalina, Messalina",tt0076388,1977,Anneka Di Lorenzo,Female,Italy,traveler
The Big Racket,tt0074586,1976,Fabio Testi,Male,Italy,inspector
Street Law,tt0071330,1974,Franco Nero,Male,Italy,engineer
Property Is No Longer a Theft,tt0070568,1973,Ugo Tognazzi,Male,Italy,butcher
Red Rings of Fear,tt0077505,1978,Fabio Testi,Male,Italy,inspector
Socrates,tt0210296,1971,Jean Sylvre,Male,Italy,philosopher
Baby Love,tt0078819,1979,Paola Maiolini,Female,Italy,queen
