title,id,release_year,main_character_name,main_character_gender,country,main_character_role
House,tt0076162,1977,Kimiko Ikegami,Female,Japan,academic
Belladonna of Sadness,tt0071203,1973,Aiko Nagayama,Female,Japan,noble
Woman in the Dunes,tt0058625,1964,Eiji Okada,Male,Japan,entomologist
Lupin III: The Castle of Cagliostro,tt0079833,1979,Yasuo Yamada,Male,Japan,master
Onibaba,tt0058430,1964,Nobuko Otowa,Female,Japan,samurai
The Green Slime,tt0064393,1968,Robert Horton,Male,Japan,commander
Cleopatra,tt0065588,1970,Chinatsu Nakayama,Male,Japan,queen
Blind Beast,tt0140384,1969,Eiji Funakoshi,Male,Japan,muse
The Sword of Doom,tt0060277,1966,Tatsuya Nakadai,Male,Japan,master
Terror of Mechagodzilla,tt0073373,1975,Katsuhiko Sasaki,Male,Japan,biologist
Godzilla vs. Hedorah,tt0067148,1971,Akira Yamanouchi,Male,Japan,dr.
Godzilla vs. Megalon,tt0070122,1973,Katsuhiko Sasaki,Male,Japan,inventor
Dodes'ka-den,tt0065649,1970,Yoshitaka Zushi,Male,Japan,driver
Son of Godzilla,tt0061856,1967,Tadao Takashima,Male,Japan,dr.
Female Prisoner Scorpion: Jailhouse 41,tt0226874,1972,Meiko Kaji,Female,Japan,inspector
Lupin the 3rd: The Mystery of Mamo,tt0078187,1978,Yasuo Yamada,Male,Japan,inspector
Godzilla vs. Gigan,tt0068371,1972,Hiroshi Ishikawa,Male,Japan,concept artist
Matango,tt0057295,1963,Akira Kubo,Male,Japan,professor
Gamera: The Giant Monster,tt0059080,1965,Eiji Funakoshi,Male,Japan,dr.
Latitude Zero,tt0064470,1969,Akira Takarada,Male,Japan,dr.
The Yellow Handkerchief,tt0076935,1977,Ken Takakura,Male,Japan,coal miner
Pitfall,tt0203612,1962,Hisashi Igawa,Male,Japan,miner
Atragon,tt0057215,1963,Tadao Takashima,Male,Japan,photographer
Stray Cat Rock: Sex Hunter,tt0223783,1970,Meiko Kaji,Female,Japan,leader
Japan's Longest Day,tt0062041,1967,Seiji Miyaguchi,Male,Japan,minister
Pigs and Battleships,tt0054709,1961,Hiroyuki Nagato,Male,Japan,sailor
The War in Space,tt0076902,1977,Kensaku Morita,Male,Japan,professor
Goyokin,tt0064387,1969,Tatsuya Nakadai,Male,Japan,samurai
This Transient Life,tt0128364,1970,Michiko Tsukasa,Male,Japan,buddhist
Gamera vs. Guiron,tt0064360,1969,Nobuhiro Kajima,Male,Japan,spy
Kill!,tt0063186,1968,Tatsuya Nakadai,Male,Japan,samurai
Evil of Dracula,tt0071308,1974,Toshio Kurosawa,Male,Japan,professor
Panda! Go Panda!,tt0069058,1972,Kazuko Sugiyama,Female,Japan,zookeeper
Black Lizard,tt0063203,1968,Akihiro Miwa,Male,Japan,detective
Puss in Boots,tt0064714,1969,Susumu Ishikawa,Male,Japan,king
Female Prisoner Scorpion: #701's Grudge Song,tt0226873,1973,Meiko Kaji,Female,Japan,detective
Izu no odoriko,tt0453374,1963,Sayuri Yoshinaga,Female,Japan,dancer
Cruel Story of Youth,tt0054286,1960,Miyuki Kuwano,Female,Japan,driver
Himiko,tt0071609,1974,Shima Iwashita,Female,Japan,queen
