title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Two Mules for Sister Sara,tt0065134,1970,Shirley MacLaine,Female,Mexico,prostitute
Viridiana,tt0055601,1961,Silvia Pinal,Female,Mexico,player
Alucarda,tt0075666,1977,Claudio Brook,Male,Mexico,dr.
Simon of the Desert,tt0059719,1965,Claudio Brook,Male,Mexico,herder
The Mansion of Madness,tt0068504,1973,Claudio Brook,Male,Mexico,dr.
Skeleton of Mrs. Morales,tt0052784,1960,Arturo de Córdova,Male,Mexico,dr.
The Ship of Monsters,tt0053102,1960,Eulalio González,Male,Mexico,cowboy
El hombre de los hongos,tt0074636,1976,Isela Vega,Female,Mexico,servant
La presidenta municipal,tt0313496,1975,María Elena Velasco,Female,Mexico,potter
Zindy the Swamp Boy,tt0324659,1973,René Cardona III,Male,Mexico,director
Santo vs. Doctor Death,tt0070631,1973,Santo,Male,Mexico,wrestler
Santo in the Wax Museum,tt0057471,1963,Santo,Male,Mexico,wrestler
Stuffed Butterflies,tt0123997,1978,Silvia Pinal,Female,Mexico,writer
La casa del terror,tt0052679,1960,Germán Valdés,Male,Mexico,night watchman
The Revenge of the Crying Woman,tt0208546,1974,Santo,Male,Mexico,professor
El miedo no anda en burro,tt0290244,1976,María Elena Velasco,Female,Mexico,maid
El señor doctor,tt0121763,1965,Cantinflas,Male,Mexico,doctor
Senda prohibida,tt0053262,1961,Lilia Prado,Female,Mexico,secretary
Mil caminos tiene la muerte,tt0282745,1977,Ana Martín,Female,Mexico,biker
Su excelencia,tt0061038,1967,Cantinflas,Male,Mexico,ambassador
Santo vs. the Evil Brain,tt0052159,1961,Joaquín Cordero,Male,Mexico,dr.
Santo vs. Frankenstein's Daughter,tt0067707,1972,Santo,Male,Mexico,scientist
The Extra,tt0055973,1962,Cantinflas,Male,Mexico,extra
Rarotonga,tt0334217,1978,Raúl Ramírez,Male,Mexico,dr.
The Vengeance of the Vampire Women,tt0065171,1970,Santo,Male,Mexico,doctor
The Year of the Plague,tt0077195,1979,Alejandro Parodi,Male,Mexico,dr.
El deseo llega de noche,tt0321984,1969,Joaquín Cordero,Male,Mexico,dr.
The Stepmother,tt0071792,1974,Amparo Rivelles,Female,Mexico,prostitute
La casa del pelícano,tt0075813,1978,Jacqueline Andere,Female,Mexico,teacher
Santo in the Vengeance of the Mummy,tt0208429,1971,Santo,Male,Mexico,wrestler
Black Fire,tt0266334,1979,Rolando Fernández,Male,Mexico,overseer
La diosa impura,tt0057001,1963,Isabel Sarli,Female,Mexico,painter
Santo in the Border of Terror,tt0208420,1969,Santo,Male,Mexico,doctor
The Invasion of the Dead,tt0263475,1973,Zovek,Male,Mexico,professor
Santo vs. the Zombies,tt0055409,1962,Santo,Male,Mexico,scientist
"Espérame en Siberia, vida mía",tt0065705,1971,Mauricio Garcés,Male,Mexico,doctor
Dr. Satán y la magia negra,tt0126877,1968,Joaquín Cordero,Male,Mexico,dr.
Zorro nella valle dei fantasmi,tt0055639,1960,Demetrio González,Male,Mexico,jinete
Dr. Satán,tt0178391,1966,Joaquín Cordero,Male,Mexico,dr.
"No se mande, profe",tt0180014,1969,Enrique Guzmán,Male,Mexico,profesor
Sexo y crimen,tt0290287,1970,Enrique Lizalde,Male,Mexico,dr.
Santo vs. the She-Wolves,tt0208423,1976,Santo,Male,Mexico,hacker
Conserje en condominio,tt0161454,1974,Cantinflas,Male,Mexico,newspaper
Santo vs. the Killers from Other Worlds,tt0206564,1973,Santo,Male,Mexico,wrestler
Amor libre,tt0077160,1979,Julissa,Female,Mexico,commercial
Nostradamus y el destructor de monstruos,tt0054801,1962,Germán Robles,Male,Mexico,professor
El manantial del amor,tt0323180,1970,Joaquín Cordero,Male,Mexico,dr.
Los vampiros de Coyoacán,tt0159818,1974,Germán Robles,Male,Mexico,dr.
Suicide Mission,tt0208300,1973,Santo,Male,Mexico,spy
Cinco mil dolares de recompensa,tt0068382,1974,Claudio Brook,Male,Mexico,baker
Bajo el ardiente sol,tt0310704,1971,Joaquín Cordero,Male,Mexico,foreman
Freeway II: Confessions of a Trickbaby,tt0175536,1999,Natasha Lyonne,Female,Mexico,prostitute
Herod's Law,tt0221344,1999,Damián Alcázar,Male,Mexico,assistant
Poison for the Fairies,tt0135033,1986,Ana Patricia Rojo,Female,Mexico,nanny
Old Gringo,tt0098022,1989,Jane Fonda,Female,Mexico,teacher
Grave Robbers,tt0282672,1989,Fernando Almada,Male,Mexico,executioner
Curado de espantos,tt0359123,1992,Lina Santos,Female,Mexico,archaeologist
Un embrujo,tt0168734,1998,Blanca Guerra,Female,Mexico,teacher
La mujer del ministro,tt0082777,1981,Amparo Muñoz,Female,Mexico,minister
Vacaciones de terror,tt0320708,1989,Pedro Fernández,Male,Mexico,player
Day and Night,tt0119418,1997,Arielle Dombasle,Female,Mexico,producer
Frida Still Life,tt0087297,1983,Ofelia Medina,Female,Mexico,painter
Antonieta,tt0083567,1982,Isabelle Adjani,Female,Mexico,writer
Los placeres ocultos,tt0371083,1989,Sonia Infante,Female,Mexico,psychiatrist
"De tripas, corazón",tt0116044,1996,Elpidia Carrillo,Female,Mexico,prostitute
Woman of the Port,tt0104937,1991,Evangelina Sosa,Female,Mexico,dancer
Mujer de cabaret,tt0279243,1991,Maribel Guardia,Female,Mexico,singer
Bajo la metralla,tt0083381,1983,Humberto Zurita,Male,Mexico,senior
Bajo California: El límite del tiempo,tt0168047,1998,Damián Alcázar,Male,Mexico,artist
Las muñecas del King Kong,tt0077960,1981,Lyn May,Female,Mexico,dancer
Bésame en la boca,tt0222868,1995,Paulina Rubio,Female,Mexico,artist
Inesperado amor,tt0244546,1999,Anahí,Female,Mexico,monitor
El enviado de la muerte,tt0389976,1990,Miguel Ángel Rodríguez,Male,Mexico,doctor
Los maistros,tt0378307,1988,Yirah Aparicio,Female,Mexico,maid
La dinastía de Dracula,tt0233574,1980,Fabián Aranza,Male,Mexico,dr.
Pan's Labyrinth,tt0457430,2006,Ivana Baquero,Female,Mexico,housekeeper
The Devil's Backbone,tt0256009,2001,Marisa Paredes,Female,Mexico,doctor
