title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Camera Buff,tt0078763,1979,Jerzy Stuhr,Male,Poland,worker
Man of Marble,tt0075902,1977,Jerzy Radziwilowicz,Male,Poland,filmmaker
The Promised Land,tt0072446,1975,Daniel Olbrychski,Male,Poland,managing engineer
The Maids of Wilko,tt0079696,1979,Daniel Olbrychski,Male,Poland,tutor
Barrier,tt0060150,1966,Joanna Szczerbic,Female,Poland,driver
Landscape After Battle,tt0065948,1970,Daniel Olbrychski,Male,Poland,poet
The Shadow Line,tt0075238,1976,Marek Kondrat,Male,Poland,seaman
Co mi zrobisz jak mnie zlapiesz,tt0077350,1978,Krzysztof Kowalewski,Male,Poland,director
Ktokolwiek wie...,tt0060610,1966,Edward Linde-Lubaszenko,Male,Poland,journalist
Walkover,tt0059892,1965,Jerzy Skolimowski,Male,Poland,boxer
The Song of Triumphant Love,tt0177110,1969,Beata Tyszkiewicz,Female,Poland,noble
Wsród nocnej ciszy,tt0080150,1978,Tomasz Zaliwski,Male,Poland,commander
Sledztwo,tt0938810,1974,Tadeusz Borowski,Male,Poland,inspector
Kardiogram,tt0067293,1971,Tadeusz Borowski,Male,Poland,dr.
Doktor Judym,tt0074420,1975,Jan Englert,Male,Poland,dr.
Dagny,tt0075908,1977,Lise Fjeldstad,Female,Poland,painter
Dotkniecie nocy,tt0055925,1962,Jerzy Kozakiewicz,Male,Poland,photographer
Pokój z widokiem na morze,tt0078099,1978,Piotr Fronczewski,Male,Poland,dr.
Córka albo syn,tt0173756,1979,Eugeniusz Priwieziencew,Male,Poland,milkman
Mistrz,tt0182324,1966,Janusz Warnecki,Male,Poland,actor
Motodrama,tt0067447,1971,Jacek Fedorowicz,Male,Poland,officer
Foul Play,tt0076575,1976,Jerzy Kulej,Male,Poland,inspektor
Boleslaw Smialy,tt0068303,1972,Ignacy Gogolewski,Male,Poland,king
The System of Dr. Tarr and Professor Fether,tt0262804,1972,Jerzy Przybylski,Male,Poland,doctor
Hipoteza,tt0068703,1973,Jerzy Zelnik,Male,Poland,professor
Cala naprzód,tt0061436,1967,Zbigniew Cybulski,Male,Poland,sailor
The Friend,tt0121300,1965,Piotr Kurowski,Male,Poland,professor
Behind the Wall,tt0068010,1971,Maja Komorowska,Female,Poland,writer
Szansa,tt0081588,1979,Jerzy Stuhr,Male,Poland,history teacher
Zaliczenie,tt0177406,1968,Aleksander Bardini,Male,Poland,profesor
Ostatni kurs,tt0057392,1963,Barbara Rylska,Female,Poland,singer
The Postmaster,tt0173003,1968,Kazimierz Fabisiak,Male,Poland,postmaster
Weekend z dziewczyna,tt0063797,1968,Krzysztof Chamiec,Male,Poland,dr.
Zaraza,tt0069537,1972,Tadeusz Borowski,Male,Poland,dr.
Ciemnogród,tt0122435,1964,Wojciech Duryasz,Male,Poland,soldier
Brylanty pani Zuzy,tt0068320,1972,Ryszard Filipski,Male,Poland,counterintelligence
Sunday Morning,tt0172877,1978,Kazimierz Rudzki,Male,Poland,narrator
Mala sprawa,tt0476804,1975,Wojciech Alaborski,Male,Poland,engineer
Szklana góra,tt0054361,1960,Maria Wachowiak,Female,Poland,doctor
Zbieg,tt0171941,1960,Emil Karewicz,Male,Poland,officer
Stacja bezsennosc,tt8590234,1974,Hanna Stankówna,Female,Poland,dr.
Miejsce dla jednego,tt0060695,1966,Zygmunt Hübner,Male,Poland,chairman
A Joiner,tt1090353,1976,Jan Himilsbach,Male,Poland,narrator
It Started Yesterday,tt0054976,1961,Tadeusz Bartosik,Male,Poland,officer
Gdzie woda czysta i trawa zielona,tt0076071,1977,Tadeusz Borowski,Male,Poland,secretary
Na niebie i na ziemi,tt0071888,1974,Andrzej Chrzanowski,Male,Poland,pilot major
Three Colors: White,tt0111507,1994,Zbigniew Zamachowski,Male,Poland,conveyor
