title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Anna Karenina,tt0118623,1997,Sophie Marceau,Female,Russia,senior
The Barber of Siberia,tt0120125,1998,Julia Ormond,Female,Russia,cadet
Mute Witness,tt0110604,1995,Marina Zudina,Female,Russia,artist
The Thief,tt0124207,1997,Vladimir Mashkov,Male,Russia,officer
The Green Elephant,tt1003080,1999,Sergey Pakhomov,Male,Russia,officer
Luna Park,tt0104776,1992,Oleg Borisov,Male,Russia,composer
Zivot a neobycejna dobrodruzstvi vojaka Ivana Conkina,tt0110348,1994,Gennadiy Nazarov,Male,Russia,soldier
Sympathy Seeker,tt0129380,1997,Elena Shevchenko,Female,Russia,teacher
Revizor,tt0117471,1996,Nikita Mikhalkov,Male,Russia,mayor
Heads and Tails,tt0114054,1995,Kirill Pirogov,Male,Russia,engineer
Sumasshedshaya lyubov,tt5133404,1992,Aleksandr Abdulov,Male,Russia,reporter
Melkiy bes,tt0226130,1995,Sergey Taramaev,Male,Russia,high school teacher
Tonkaya shtuchka,tt0244851,1999,Aleksandra Zakharova,Male,Russia,english teacher
Mytar,tt0165890,1997,Oleg Fomin,Male,Russia,collector
8 ½ $,tt0417396,1999,Ivan Okhlobystin,Male,Russia,director
Starye pesni o glavnom 2,tt0242906,1997,Lyudmila Gurchenko,Female,Russia,resident
Krutye menty,tt5159476,1998,Vasiliy Mishchenko,Male,Russia,investigator
Tri sestry,tt0111487,1994,Olga Belyayeva,Female,Russia,teacher
"Dve luny, tri solntsa",tt0132103,1998,Vladimir Mashkov,Male,Russia,archaeologist
Mirror Reflection,tt0105072,1992,Natalya Baranova,Male,Russia,actress
Arbitr,tt0103712,1992,Aleksandr Solovyov,Male,Russia,arbiter
The Jester Balakirev,tt6354926,1993,Aleksey Borzunov,Male,Russia,jester
Strannye muzhchiny Semyonovoy Ekateriny,tt2967996,1993,Natalya Fisson,Female,Russia,actress
Maniya Zhizeli,tt0113763,1995,Galina Tyunina,Female,Russia,ballerina
