title,id,release_year,main_character_name,main_character_gender,country,main_character_role
"Môre, Môre",tt2018098,1973,Hans Strydom,Male,South Africa,teacher
Jannie totsiens,tt0367902,1970,Cobus Rossouw,Male,South Africa,prof.
Hoor My Lied,tt2022422,1967,Gé Korsten,Male,South Africa,dr.
Mirage Eskader,tt2032501,1975,Barry Trengove,Male,South Africa,commandant
Staal Burger,tt2036442,1969,Daan Retief,Male,South Africa,agent
Lokval in Venesië,tt0392352,1972,Gé Korsten,Male,South Africa,ambassador
Danie Bosman: Die verhaal van die grootste S.A. komponis,tt2022368,1969,Franz Marx,Male,South Africa,civil servant
Dingetjie & Idi,tt2040325,1977,Dawie Malan,Male,South Africa,doctor
Die Eensame Vlug,tt2046083,1978,Hans Strydom,Male,South Africa,dr.
Groetnis vir die Eerste Minister,tt2030343,1973,André Laubscher,Male,South Africa,minister
South West Africa: The Timeless Land,tt12573438,1961,Gideon Roos,Male,South Africa,narrator
Die 3 v.d. Merwes,tt2034657,1970,Franz Marx,Male,South Africa,doctor
Vision of Gold,tt8024324,1968,Joe Stewardson,Male,South Africa,narrator
Soweto Green: This Is a 'Tree' Story,tt0111250,1995,John Kani,Male,South Africa,dr.
Danie Theron,tt6187126,1983,Hans Strydom,Male,South Africa,leader
Hedda Gabler,tt6693960,1983,Sandra Prinsloo,Female,South Africa,academic
Silwerdoekstories,tt13125338,1994,Hans Strydom,Male,South Africa,narrator
Red Dust,tt0388364,2004,Jamie Bartlett,Male,South Africa,officer
Max and Mona,tt0382839,2004,Mpho Lovinga,Male,South Africa,doctor
Finale,tt4616080,2007,Lieb Bester,Male,South Africa,prof.
'N Eeu Vlieg Verby,tt13618912,2003,Sandra Prinsloo,Female,South Africa,narrator
Wolwedans in die Skemer,tt2188965,2012,Rolanda Marais,Female,South Africa,receptionist
Die Wonderwerker,tt2404552,2012,Dawid Minnaar,Male,South Africa,researcher
The Pro,tt5185042,2015,Edwin van der Walt,Male,South Africa,surfer
Agent 2000: Die Laksman,tt3146264,2014,Paul Loots,Male,South Africa,agent
Babalas,tt3376504,2013,Ian Roberts,Male,South Africa,executive
Die Laaste Tango,tt2980650,2013,Louw Venter,Male,South Africa,kaptein
Uitvlucht,tt4881608,2015,Clara Joubert van den Bergh,Male,South Africa,teacher
Die Snelweg Sluiper,tt8577532,2015,Irshaad Ally,Male,South Africa,driver
The Wound,tt6333070,2017,Nakhane Touré,Male,South Africa,factory worker
Tess,tt5154162,2016,Christia Visser,Female,South Africa,worker
Dominee Tienie,tt6437830,2018,Frank Opperman,Male,South Africa,career
Sew the Winter to My Skin,tt7416536,2018,Ezra Mabengeza,Male,South Africa,runner
Stroomop,tt8038160,2018,DonnaLee Roberts,Male,South Africa,dr.
Sy klink soos lente,tt5036338,2016,Stiaan Smith,Male,South Africa,mechanic
Cast Iron Can't Be Welded,tt7227524,2017,Deon Lotz,Male,South Africa,farmer
Vlugtig,tt14210358,2021,Arno Greeff,Male,South Africa,actor
Verstikking,tt18987136,2022,Irshaad Ally,Male,South Africa,employee
Draadloos,tt12165336,2019,Sandi Schultz,Female,South Africa,pastor
