title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Three Giant Men,tt0181947,1973,Aytekin Akkaya,Male,Turkey,wrestler
Tarkan and the Blood of the Vikings,tt0274932,1971,Kartal Tibet,Male,Turkey,leader
Tarkan,tt0274931,1969,Kartal Tibet,Male,Turkey,warrior
Çirilçiplak,tt2258753,1977,Arzu Okay,Female,Turkey,singer
Yusuf ile Kenan,tt0395824,1979,Cem Davran,Male,Turkey,shepherd
"Nebahat, the Driver",tt0369948,1960,Sezer Sezin,Female,Turkey,driver
Sütü bozuk,tt2492464,1976,Arzu Okay,Female,Turkey,singer
Vurun kahpeye,tt0279509,1973,Hale Soygazi,Female,Turkey,teacher
Yatik Emine,tt1242771,1975,Serdar Gökhan,Male,Turkey,server
Stranger in the City,tt0284467,1963,Göksel Arsoy,Male,Turkey,engineer
Harem Suare,tt0179841,1999,Marie Gillain,Female,Turkey,guard
Arzu,tt2958780,1985,Banu Alkan,Female,Turkey,model
Cholera Street,tt0149601,1997,Okan Bayülgen,Male,Turkey,mechanic
Günesin tutuldugu gün,tt0494956,1983,Müjde Ar,Female,Turkey,cashier
Aaahh Belinda,tt0278891,1986,Müjde Ar,Female,Turkey,actress
Don't Let Them Shoot the Kite,tt0098573,1989,Ozan Bilen,Male,Turkey,tender
Iffet,tt0492066,1982,Müjde Ar,Female,Turkey,driver
The Secret Face,tt0101956,1991,Zuhal Olcay,Female,Turkey,photographer
A Season in Hakkari,tt0084045,1983,Genco Erkal,Male,Turkey,teacher
Kurulus,tt0484387,1986,Cihan Ünal,Male,Turkey,founder
Alamancinin karisi,tt0426877,1987,Korhan Abay,Male,Turkey,worker
Kuyucakli Yusuf,tt5119310,1985,Ahmet Mekin,Male,Turkey,governor
"Rosa, I Love You",tt0105354,1992,Ayla Algan,Female,Turkey,teller
Bekçi,tt0376779,1985,Müjdat Gezen,Male,Turkey,watchman
Hunting Time,tt0123388,1988,Aytaç Arman,Male,Turkey,writer
Itirazim var,tt0490601,1982,Müslüm Gürses,Male,Turkey,singer
Emir Sultan,tt1476981,1997,Reha Yeprem,Male,Turkey,prophet
Distant,tt0346094,2002,Muzaffer Özdemir,Male,Turkey,worker
Climates,tt0498097,2006,Ebru Ceylan,Female,Turkey,instructor
Bliss,tt0978649,2007,Talat Bulut,Male,Turkey,professor
Takva: A Man's Fear of God,tt0499262,2006,Erkan Can,Male,Turkey,prayer
Fate,tt0287803,2001,Serdar Orçin,Male,Turkey,bookkeeper
Pains of Autumn,tt0425080,2009,Murat Yildirim,Male,Turkey,activist
Alone,tt1322930,2008,Melis Birkan,Female,Turkey,restaurant
Lovelorn,tt0425079,2005,Meltem Cumbul,Female,Turkey,driver
The Market: A Tale of Trade,tt1286165,2008,Tayanç Ayaydin,Male,Turkey,trader
Envy,tt1512894,2009,Serhat Tutumluer,Male,Turkey,engineer
Cenneti Beklerken,tt0782032,2006,Serhat Tutumluer,Male,Turkey,master
The Class of Chaos Goes Abroad,tt0404090,2004,Halit Akçatepe,Male,Turkey,consultant
Wrong Rosary,tt1366981,2009,Nadir Saribacak,Male,Turkey,muezzin
Angel's Fall,tt0431259,2004,Tülin Özen,Female,Turkey,housekeeper
Shattered Soul,tt0476148,2006,Demet Evgar,Female,Turkey,psychiatrist
