title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Death on the Nile,tt0077413,1978,Peter Ustinov,Male,United Kingdom,heiress
A Clockwork Orange,tt0066921,1971,Malcolm McDowell,Male,United Kingdom,leader
The Rocky Horror Picture Show,tt0073629,1975,Tim Curry,Male,United Kingdom,dr.
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,1964,Peter Sellers,Male,United Kingdom,dr.
Lawrence of Arabia,tt0056172,1962,Peter O'Toole,Male,United Kingdom,officer
Dr. No,tt0055928,1962,Sean Connery,Male,United Kingdom,intelligence officer
Monty Python and the Holy Grail,tt0071853,1975,Graham Chapman,Male,United Kingdom,king
Cleopatra,tt0056937,1963,Elizabeth Taylor,Female,United Kingdom,queen
Live and Let Die,tt0070328,1973,Roger Moore,Male,United Kingdom,reader
Goldfinger,tt0058150,1964,Sean Connery,Male,United Kingdom,agent
From Russia with Love,tt0057076,1963,Sean Connery,Male,United Kingdom,agent
Life of Brian,tt0079470,1979,Graham Chapman,Male,United Kingdom,king
The Spy Who Loved Me,tt0076752,1977,Roger Moore,Male,United Kingdom,agent
Moonraker,tt0079574,1979,Roger Moore,Male,United Kingdom,agent
Casino Royale,tt0061452,1967,Peter Sellers,Male,United Kingdom,agent
Holiday on the Buses,tt0071613,1973,Reg Varney,Male,United Kingdom,butler
The Offence,tt0070468,1973,Sean Connery,Male,United Kingdom,detective
The Devils,tt0066993,1971,Vanessa Redgrave,Female,United Kingdom,canon
Zardoz,tt0070948,1974,Sean Connery,Male,United Kingdom,assistant
The Lord of the Rings,tt0077869,1978,Christopher Guard,Male,United Kingdom,steward
The Lion in Winter,tt0063227,1968,Peter O'Toole,Male,United Kingdom,king
The Innocents,tt0055018,1961,Deborah Kerr,Female,United Kingdom,governess
Force 10 from Navarone,tt0077572,1978,Robert Shaw,Male,United Kingdom,spy
Fahrenheit 451,tt0060390,1966,Julie Christie,Female,United Kingdom,collector
Aces High,tt0075627,1976,Malcolm McDowell,Male,United Kingdom,senior
Tess,tt0080009,1979,John Collin,Male,United Kingdom,farmer
Quadrophenia,tt0079766,1979,Phil Daniels,Male,United Kingdom,bellboy
Jubilee,tt0076240,1978,Jenny Runacre,Female,United Kingdom,queen
The Spy Who Came in from the Cold,tt0059749,1965,Richard Burton,Male,United Kingdom,agent
Age of Consent,tt0063991,1969,James Mason,Male,United Kingdom,artist
The Return of the Pink Panther,tt0072081,1975,Peter Sellers,Male,United Kingdom,inspector
Children of the Damned,tt0056931,1964,Ian Hendry,Male,United Kingdom,dr.
Scum,tt0079871,1979,Ray Winstone,Male,United Kingdom,intellectual
The Pink Panther Strikes Again,tt0075066,1976,Peter Sellers,Male,United Kingdom,inspector
The Vampire Lovers,tt0066518,1970,Ingrid Pitt,Female,United Kingdom,governess
Sleuth,tt0069281,1972,Laurence Olivier,Male,United Kingdom,manor
Murphy's War,tt0067458,1971,Peter O'Toole,Male,United Kingdom,merchant
Nicholas and Alexandra,tt0067483,1971,Michael Jayston,Male,United Kingdom,minister
The Prime of Miss Jean Brodie,tt0064840,1969,Maggie Smith,Female,United Kingdom,teacher
Dracula A.D. 1972,tt0068505,1972,Christopher Lee,Male,United Kingdom,coach
Jabberwocky,tt0076221,1977,Michael Palin,Male,United Kingdom,career
The Satanic Rites of Dracula,tt0070634,1973,Christopher Lee,Male,United Kingdom,secretary
After the Fox,tt0060200,1966,Peter Sellers,Male,United Kingdom,master
Kes,tt0064541,1969,David Bradley,Male,United Kingdom,english teacher
Virgin Witch,tt0069464,1972,Ann Michelle,Female,United Kingdom,agent
Performance,tt0066214,1970,James Fox,Male,United Kingdom,musician
A Shot in the Dark,tt0058586,1964,Peter Sellers,Male,United Kingdom,inspector
Far from the Madding Crowd,tt0061648,1967,Julie Christie,Female,United Kingdom,farmer
Cul-de-sac,tt0060268,1966,Donald Pleasence,Male,United Kingdom,servant
Equus,tt0075995,1977,Richard Burton,Male,United Kingdom,psychiatrist
Images,tt0068732,1972,Susannah York,Female,United Kingdom,author
Murder Ahoy,tt0058382,1964,Margaret Rutherford,Female,United Kingdom,merchant
Mutiny on the Buses,tt0068981,1972,Reg Varney,Male,United Kingdom,butler
The Great Train Robbery,tt0079240,1978,Sean Connery,Male,United Kingdom,master
Lust for a Vampire,tt0067367,1971,Barbara Jefford,Female,United Kingdom,headmaster
When Dinosaurs Ruled the Earth,tt0066561,1970,Victoria Vetri,Female,United Kingdom,monitor
Blood from the Mummy's Tomb,tt0068290,1971,Andrew Keir,Male,United Kingdom,professor
Revenge of the Pink Panther,tt0078163,1978,Peter Sellers,Male,United Kingdom,inspector
Anne of the Thousand Days,tt0064030,1969,Richard Burton,Male,United Kingdom,king
The Angry Silence,tt0053602,1960,Richard Attenborough,Male,United Kingdom,worker
I Could Go on Singing,tt0057168,1963,Judy Garland,Female,United Kingdom,singer
The Servant,tt0057490,1963,Dirk Bogarde,Male,United Kingdom,servant
Becket,tt0057877,1964,Richard Burton,Male,United Kingdom,king
The Legend of Hell House,tt0070294,1973,Pamela Franklin,Female,United Kingdom,tanner
Sunday Bloody Sunday,tt0067805,1971,Peter Finch,Male,United Kingdom,dr.
The Cassandra Crossing,tt0074292,1976,Sophia Loren,Female,United Kingdom,chamberlain
Dracula: Prince of Darkness,tt0059127,1966,Christopher Lee,Male,United Kingdom,doctor
Dracula Has Risen from the Grave,tt0062909,1968,Christopher Lee,Male,United Kingdom,prayer
White Cargo,tt0283137,1973,David Jason,Male,United Kingdom,employee
Dr. Who and the Daleks,tt0059126,1965,Peter Cushing,Male,United Kingdom,doctor
Phase IV,tt0070531,1974,Nigel Davenport,Male,United Kingdom,dr.
Escape to Athena,tt0079117,1979,Roger Moore,Male,United Kingdom,commandant
Confessions of a Window Cleaner,tt0071357,1974,Robin Askwith,Male,United Kingdom,window cleaner
Candleshoe,tt0075807,1977,David Niven,Male,United Kingdom,butler
Adventures of a Taxi Driver,tt0074094,1976,Barry Evans,Male,United Kingdom,driver
A Lizard in a Woman's Skin,tt0067361,1971,Florinda Bolkan,Female,United Kingdom,lawyer
