title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Star Wars,tt0076759,1977,Mark Hamill,Male,United States,knight
The Sound of Music,tt0059742,1965,Julie Andrews,Female,United States,officer
Jaws,tt0073195,1975,Roy Scheider,Male,United States,hooper
Grease,tt0077631,1978,John Travolta,Male,United States,leader
Hombre,tt0061770,1967,Paul Newman,Male,United States,driver
2001: A Space Odyssey,tt0062622,1968,Keir Dullea,Male,United States,dr.
Psycho,tt0054215,1960,Anthony Perkins,Male,United States,proprietor
Willy Wonka & the Chocolate Factory,tt0067992,1971,Gene Wilder,Male,United States,tinker
Carrie,tt0074285,1976,Sissy Spacek,Female,United States,senior
Young Frankenstein,tt0072431,1974,Gene Wilder,Male,United States,dr.
Once Upon a Time in the West,tt0064116,1968,Claudia Cardinale,Female,United States,prostitute
Smokey and the Bandit,tt0076729,1977,Burt Reynolds,Male,United States,sheriff
The Warriors,tt0080120,1979,Michael Beck,Male,United States,leader
Deliverance,tt0068473,1972,Jon Voight,Male,United States,mountain man
Mary Poppins,tt0058331,1964,Julie Andrews,Female,United States,banker
Love Story,tt0066011,1970,Ali MacGraw,Female,United States,teacher
The Texas Chain Saw Massacre,tt0072271,1974,Marilyn Burns,Female,United States,driver
Soylent Green,tt0070723,1973,Charlton Heston,Male,United States,detective
Dirty Harry,tt0066999,1971,Clint Eastwood,Male,United States,inspector
My Fair Lady,tt0058385,1964,Audrey Hepburn,Female,United States,professor
El Dorado,tt0061619,1966,John Wayne,Male,United States,sheriff
Three Days of the Condor,tt0073802,1975,Robert Redford,Male,United States,turner
Cleopatra,tt0056937,1963,Elizabeth Taylor,Female,United States,queen
The Outlaw Josey Wales,tt0075029,1976,Clint Eastwood,Male,United States,farmer
Magnum Force,tt0070355,1973,Clint Eastwood,Male,United States,vigilante
Promises in the Dark,tt0079757,1979,Marsha Mason,Female,United States,dr.
All That Jazz,tt0078754,1979,Roy Scheider,Male,United States,dancer
The Detective,tt0062883,1968,Frank Sinatra,Male,United States,detective
The Long Goodbye,tt0070334,1973,Elliott Gould,Male,United States,investigator
Walking Tall,tt0070895,1973,Joe Don Baker,Male,United States,sheriff
Hair,tt0079261,1979,John Savage,Male,United States,hooper
Grand Prix,tt0060472,1966,James Garner,Male,United States,driver
Funny Girl,tt0062994,1968,Barbra Streisand,Female,United States,entertainer
The Enforcer,tt0074483,1976,Clint Eastwood,Male,United States,inspector
The Great Race,tt0059243,1965,Jack Lemmon,Male,United States,professor
Dr. Strange,tt0077469,1978,Peter Hooten,Male,United States,dr.
The Muppet Movie,tt0079588,1979,Jim Henson,Male,United States,dr.
"Hello, Dolly!",tt0064418,1969,Barbra Streisand,Female,United States,matchmaker
The Cowboys,tt0068421,1972,John Wayne,Male,United States,rancher
Blue Hawaii,tt0054692,1961,Elvis Presley,Male,United States,tour guide
The Driver,tt0077474,1978,Ryan O'Neal,Male,United States,driver
Mahogany,tt0073335,1975,Diana Ross,Female,United States,designer
Guns of Diablo,tt0058167,1964,Charles Bronson,Male,United States,scout
Lifeguard,tt0074798,1976,Sam Elliott,Male,United States,lifeguard
Coma,tt0077355,1978,Geneviève Bujold,Female,United States,dr.
Flesh Gordon,tt0068595,1974,Jason Williams,Male,United States,player
Cinderella,tt0057950,1965,Ginger Rogers,Female,United States,queen
Hooper,tt0077696,1978,Burt Reynolds,Male,United States,hooper
The Love Bug,tt0064603,1968,Dean Jones,Male,United States,driver
The Comancheros,tt0054757,1961,John Wayne,Male,United States,cutter
High Anxiety,tt0076141,1977,Mel Brooks,Male,United States,dr.
Colossus: The Forbin Project,tt0064177,1970,Eric Braeden,Male,United States,dr.
Girls! Girls! Girls!,tt0056023,1962,Elvis Presley,Male,United States,carpenter
Let's Make Love,tt0054022,1960,Marilyn Monroe,Female,United States,actor
Coogan's Bluff,tt0062824,1968,Clint Eastwood,Male,United States,deputy sheriff
The Night of the Iguana,tt0058404,1964,Richard Burton,Male,United States,dr.
Act of Vengeance,tt0072067,1974,Jo Ann Harris,Female,United States,shoemaker
Sweet Charity,tt0065054,1969,Shirley MacLaine,Female,United States,dancer
Damnation Alley,tt0075909,1977,Jan-Michael Vincent,Male,United States,tanner
X: The Man with the X-Ray Eyes,tt0057693,1963,Ray Milland,Male,United States,dr.
The Island of Dr. Moreau,tt0076210,1977,Burt Lancaster,Male,United States,dr.
The Champ,tt0078950,1979,Jon Voight,Male,United States,boxer
Blood for Dracula,tt0071233,1974,Joe Dallesandro,Male,United States,servant
Marlowe,tt0064638,1969,James Garner,Male,United States,detective
Beach Red,tt0061389,1967,Cornel Wilde,Male,United States,narrator
This Property Is Condemned,tt0061089,1966,Natalie Wood,Female,United States,official
Torn Curtain,tt0061107,1966,Paul Newman,Male,United States,professor
The Legend of Boggy Creek,tt0068837,1972,Vern Stierman,Male,United States,narrator
Gargoyles,tt0068622,1972,Cornel Wilde,Male,United States,dr.
How the Grinch Stole Christmas!,tt0060345,1966,Boris Karloff,Male,United States,narrator
Harper,tt0060490,1966,Paul Newman,Male,United States,investigator
Change of Habit,tt0065537,1969,Elvis Presley,Male,United States,dr.
McHale's Navy,tt0058336,1964,Ernest Borgnine,Male,United States,commander
The Internecine Project,tt0071663,1974,James Coburn,Male,United States,professor
Lolly-Madonna XXX,tt0070332,1973,Rod Steiger,Male,United States,feather
Becket,tt0057877,1964,Richard Burton,Male,United States,king
Super Fly,tt0069332,1972,Ron O'Neal,Male,United States,dealer
Beach Party,tt0056860,1963,Robert Cummings,Male,United States,prof.
Our Man Flint,tt0059557,1966,James Coburn,Male,United States,agent
Back to the Future,tt0088763,1985,Michael J. Fox,Male,United States,scientist
Saving Private Ryan,tt0120815,1998,Tom Hanks,Male,United States,miller
Se7en,tt0114369,1995,Morgan Freeman,Male,United States,detective
Schindler's List,tt0108052,1993,Liam Neeson,Male,United States,industrialist
