Title,Country,Release Year,Main Character Name,Main Character Gender,Main Character Role
The Curious Dr. Humpp,Argentina,1969,Ricardo Bauleo,Male,reporter
Muhair,Argentina,1967,Isabel Sarli,Female,prostitute
Tropical Ecstasy,Argentina,1970,Isabel Sarli,Female,prostitute
Masterworks of Terror,Argentina,1960,Narciso Ibáñez Menta,Male,doctor
Juan Manuel de Rosas,Argentina,1972,Rodolfo Bebán,Male,governor
La diosa impura,Argentina,1963,Isabel Sarli,Female,painter
Los doctores las prefieren desnudas,Argentina,1973,Alberto Olmedo,Male,salesman
El rey de los exhortos,Argentina,1979,Alberto Olmedo,Male,doctor
Yesterday's Guys Used No Arsenic,Argentina,1976,Mecha Ortiz,Female,doctor
Placer sangriento,Argentina,1967,Alberto Candeau,Male,doctor
Los hijos de Fierro,Argentina,1978,Julio Troxler,Male,mayor
Tres veces Ana,Argentina,1961,María Vaner,Female,actress
Fatso Catastrophe,Argentina,1977,Jorge Porcel,Male,assistant
The Venerable Ones,Argentina,1963,Lautaro Murúa,Male,leader
Los guerrilleros,Argentina,1965,Arturo García Buhr,Male,doctor
La Raulito en libertad,Argentina,1977,Marilina Ross,Female,actress
El profesor patagónico,Argentina,1970,Luis Sandrini,Male,profesor
"Dr. Cándido Pérez, señoras",Argentina,1962,Juan Carlos Thorry,Male,doctor
Mal de chagas,Argentina,1971,Luis Medina Castro,Male,narrator
The Official Story,Argentina,1985,Héctor Alterio,Male,official
Man Facing Southeast,Argentina,1986,Lorenzo Quinteros,Male,doctor
Tango,Argentina,1998,Miguel Ángel Solá,Male,director
In the Name of the Son,Argentina,1987,Margot Moreyra,Female,repairer
Moebius,Argentina,1996,Guillermo Angelelli,Male,director
El arreglo,Argentina,1983,Federico Luppi,Male,official
Wild Tango,Argentina,1993,Fernán Mirás,Male,pioneer
The Insatiable Widow,Argentina,1984,Isabel Sarli,Female,psychologist
The Journey,Argentina,1992,Walter Quiroz,Male,anthropologist
Poor Butterfly,Argentina,1986,Graciela Borges,Female,leader
Wind with the Gone,Argentina,1998,Vera Fogwill,Female,driver
Yepeto,Argentina,1999,Ulises Dumont,Male,profesor
Last Images of the Shipwreck,Argentina,1989,Lorenzo Quinteros,Male,salesman
Strange Wild Women,Argentina,1988,Víctor Laplace,Male,doctor
La clínica del Dr. Cureta,Argentina,1987,Gianni Lunadei,Male,doctor
Alma mía,Argentina,1999,Araceli González,Female,architect
Under Flag,Argentina,1997,Miguel Ángel Solá,Male,mayor
The Loves of Kafka,Argentina,1988,Susú Pecoraro,Female,director
Beyond the Limit,Argentina,1995,Mario Pasik,Male,inspector
Comandos azules en acción,Argentina,1980,Jorge Martínez,Male,model
Flop,Argentina,1990,Víctor Laplace,Male,shooter
Intimate Stories,Argentina,2002,Javier Lombardo,Male,salesman
The Aura,Argentina,2005,Ricardo Darín,Male,taxidermist
Gods,Argentina,2008,Maricielo Effio,Male,industrialist
I Know Who You Are,Argentina,2000,Miguel Ángel Solá,Male,psychiatrist
Today and Tomorrow,Argentina,2003,Antonella Costa,Female,actress
The Magic Gloves,Argentina,2003,Vicentico,Male,driver
Vereda tropical,Argentina,2004,Fabio Aste,Male,writer
Freedom,Argentina,2001,Misael Saavedra,Male,lumberjack
Tres minutos,Argentina,2007,Nicolás Pauls,Male,journalist
Operativo Soberanía,Argentina,2006,Gastón Pauls,Male,narrator
Teresa: Crucificada por amar,Argentina,2009,Francisca Lewin,Female,writer
La profesora,Argentina,2005,Mimí Ardú,Female,professor
Chiche bombón,Argentina,2004,Andrea Galante,Female,acting
Love by Accident,Argentina,2008,Mercedes Morán,Female,painter
Carancho,Argentina,2010,Ricardo Darín,Male,lawyer
The Last Elvis,Argentina,2012,John McInerny,Male,impersonator
Cowboy,Argentina,2011,Juan Minujín,Male,actor
Kluge,Argentina,2010,Laura Harring,Female,journalist
Estamos Juntos,Argentina,2011,Leandra Leal,Female,doctor
Truman,Argentina,2015,Ricardo Darín,Male,professor
Amapola,Argentina,2014,Camilla Belle,Female,ama
The Irish Prisoner,Argentina,2015,Alexia Moyano,Female,soldier
The Land of Silence,Argentina,2014,Gilberto Barraza,Male,filmmaker
The Reconstruction,Argentina,2013,Diego Peretti,Male,worker
Everybody Knows,Argentina,2018,Penélope Cruz,Female,police officer
"Tiger, Blood in the Mouth",Argentina,2016,Leonardo Sbaraglia,Male,professional boxer
Nobody's Watching,Argentina,2017,Guillermo Pfening,Male,producer
A Decent Woman,Argentina,2016,Iride Mockert,Female,maid
We Are Thr3e,Argentina,2018,Charly Etchévers,Male,accountant
"Yo soy así, Tita de Buenos Aires",Argentina,2017,Mercedes Funes,Female,singer
The Wrath of God,Argentina,2022,Macarena Achaga,Female,writer
The Tale of King Crab,Argentina,2021,Gabriele Silli,Male,guide
4x4,Argentina,2019,Peter Lanzani,Male,model
The Crimes That Bind,Argentina,2020,Cecilia Roth,Female,maid
Amor bandido,Argentina,2021,Romina Ricci,Female,teacher
With Pleasure,Argentina,2020,Alejandro Rose-Garcia,Male,cowboy
Holy Beasts,Argentina,2019,Geraldine Chaplin,Female,actress
Biónica,Argentina,2022,Fabián Arenillas,Male,doctor
Age of Consent,Australia,1969,James Mason,Male,artist
Stone,Australia,1974,Deryck Barnes,Male,doctor
Tim,Australia,1979,Piper Laurie,Female,labourer
Patrick,Australia,1978,Susan Penhaligon,Female,matron
Don's Party,Australia,1976,Ray Barrett,Male,labor
Long Weekend,Australia,1978,John Hargreaves,Male,driver
The Odd Angry Shot,Australia,1979,Graham Kennedy,Male,cook
Sunday Too Far Away,Australia,1975,Jack Thompson,Male,shearer
"Goodbye, Norma Jean",Australia,1976,Misty Rowe,Female,baker
The F.J. Holden,Australia,1977,Paul Couzens,Male,mate
"Violence in the Cinema, Part 1",Australia,1971,Arthur Dignam,Male,doctor
Blue Fire Lady,Australia,1977,Cathryn Harrison,Female,rider
Clay,Australia,1965,Jean Lebedew,Male,sculptor
Beyond Reason,Australia,1970,George Dixon,Male,doctor
A Recollection... Hanging Rock 1900,Australia,1975,Patricia Lovell,Female,producer
Dalmas,Australia,1973,Peter Whittle,Male,runner
Man of Destiny,Australia,1963,Edward Hepple,Male,spy
The Big Deal,Australia,1961,Don Crosby,Male,worker
Posting Woomera,Australia,1960,Stewart Ginn,Male,narrator
Mighty Morphin Power Rangers: The Movie,Australia,1995,Karan Ashley,Female,ranger
The Man from Snowy River,Australia,1982,Tom Burlinson,Male,leader
The Year of Living Dangerously,Australia,1982,Linda Hunt,Female,foreign correspondent
Gallipoli,Australia,1981,Mark Lee,Male,sprinter
Shine,Australia,1996,Geoffrey Rush,Male,pianist
Bad Boy Bubby,Australia,1993,Nicholas Hope,Male,career
The Power of One,Australia,1992,Nomadlozi Kubheka,Male,nanny
Holy Smoke,Australia,1999,Kate Winslet,Female,specialist
Phar Lap,Australia,1983,Tom Burlinson,Male,preparation
Wide Sargasso Sea,Australia,1993,Karina Lombard,Female,heiress
A Cry in the Dark,Australia,1988,Meryl Streep,Female,chamberlain
Agatha Christie's Miss Marple: The Murder at the Vicarage,Australia,1986,Joan Hickson,Female,inspector
Paradise Road,Australia,1997,Glenn Close,Female,volunteer
An Angel at My Table,Australia,1990,Kerry Fox,Female,author
The Delinquents,Australia,1989,Kylie Minogue,Female,caretaker
Young Einstein,Australia,1988,Yahoo Serious,Male,farmer
Dead End Drive-In,Australia,1986,Ned Manning,Male,responsible
Howling III,Australia,1987,Barry Otto,Male,professor
Bliss,Australia,1985,Barry Otto,Male,executive
Dallas Doll,Australia,1994,Sandra Bernhard,Female,consultant
Fatal Bond,Australia,1991,Linda Blair,Female,hairdresser
The Chain Reaction,Australia,1980,Steve Bisley,Male,mechanic
Lilian's Story,Australia,1996,Ruth Cracknell,Female,singer
Lorca and the Outlaws,Australia,1984,John Tarrant,Male,hunter
Bloodmoon,Australia,1990,Leon Lissek,Male,officer
High Tide,Australia,1987,Judy Davis,Female,impersonator
...Maybe This Time,Australia,1980,Judy Morris,Female,assistant
Winter of Our Dreams,Australia,1981,Judy Davis,Female,prostitute
Turtle Beach,Australia,1992,Greta Scacchi,Female,reporter
The Pirates of Penzance,Australia,1994,Jon English,Male,king
Antarctica,Australia,1991,Alex Scott,Male,narrator
Kick,Australia,1999,Russell Page,Male,player
Run Chrissie Run!,Australia,1984,Carmen Duncan,Female,biker
Epic,Australia,1985,Benita Collings,Female,narrator
Cappuccino,Australia,1989,John Clayton,Male,actor
Never Tell Me Never,Australia,1998,Claudia Karvan,Female,shepherd
A Little Bit of Soul,Australia,1998,Geoffrey Rush,Male,treasurer
Patience,Australia,1995,Christine Douglas,Male,poet
Moulin Rouge!,Australia,2001,Nicole Kidman,Female,proprietor
Rogue,Australia,2007,Radha Mitchell,Female,researcher
Rumor Has It...,Australia,2005,Jennifer Aniston,Female,writer
Two Weeks Notice,Australia,2002,Sandra Bullock,Female,lawyer
Candy,Australia,2006,Abbie Cornish,Female,poet
The Loved Ones,Australia,2009,Xavier Samuel,Male,officer
Bright Star,Australia,2009,Abbie Cornish,Female,poet
Beowulf & Grendel,Australia,2005,Hringur Ingvarsson,Male,king
Restraint,Australia,2008,Travis Fimmel,Male,dealer
Lantana,Australia,2001,Anthony LaPaglia,Male,detective
Death Defying Acts,Australia,2007,Guy Pearce,Male,illusionist
Somersault,Australia,2004,Abbie Cornish,Female,restaurant
The Monkey's Mask,Australia,2000,Susie Porter,Female,officer
Saw,Australia,2003,Leigh Whannell,Male,officer
Japanese Story,Australia,2003,Toni Collette,Female,director
The Crocodile Hunter: Collision Course,Australia,2002,Steve Irwin,Male,hunter
The Tender Hook,Australia,2008,Rose Byrne,Female,boxer
Ten Canoes,Australia,2006,Crusoe Kurddal,Male,warrior
One Perfect Day,Australia,2004,Dan Spielman,Male,musician
Cthulhu,Australia,2000,Paul Douglas,Male,inspector
The Vow,Australia,2012,Rachel McAdams,Female,doctor
The Reef,Australia,2010,Damian Walshe-Howling,Male,sailor
Legend of the Guardians: The Owls of Ga'Hoole,Australia,2010,Emily Barclay,Female,soldier
Sanctum,Australia,2011,Richard Roxburgh,Male,master
The Eye of the Storm,Australia,2011,Charlotte Rampling,Female,hunter
Any Questions for Ben?,Australia,2012,Josh Lawson,Male,lawyer
